year,count
2007,3105
2008,2066
2009,3038
2010,358
2011,323
2012,151
2013,82
2014,118
2015,303
2016,180
2017,46
2018,28
2019,129
2020,18
2021,14
2022,14
2023,9
2024,7
2025,9
