primary_category,count
astro-ph,1837
hep-th,680
hep-ph,671
quant-ph,564
gr-qc,350
cond-mat.mes-hall,307
cond-mat.str-el,292
cond-mat.mtrl-sci,291
cond-mat.stat-mech,271
math.AG,209
math-ph,202
nucl-th,186
cond-mat.supr-con,184
cond-mat.other,166
cond-mat.soft,164
