year,count
2007,145150
2008,69192
2009,228788
2010,56060
2011,61664
2012,57120
2013,71695
2014,87675
2015,214316
2016,132918
2017,121746
2018,134918
2019,153187
2020,173230
2021,184604
2022,187578
2023,214507
2024,261112
2025,310889
