primary_category,count
hep-ph,139225
cs.CV,131621
quant-ph,123263
cs.LG,116965
hep-th,110380
astro-ph,94216
cs.CL,71882
gr-qc,68790
cond-mat.mes-hall,67305
cond-mat.mtrl-sci,67176
math.AP,54451
astro-ph.GA,51898
cond-mat.str-el,50989
math.CO,50350
astro-ph.SR,46452
astro-ph.HE,43761
astro-ph.CO,43205
cond-mat.stat-mech,42546
math.PR,42169
math.AG,38520
cs.IT,38010
math.OC,36341
math.NT,35505
nucl-th,34886
cs.RO,33844
physics.optics,33325
math-ph,33261
cond-mat.supr-con,33144
math.NA,32875
cs.AI,31150
