primary_category,count
astro-ph,7266
hep-ph,2946
hep-th,2445
quant-ph,2121
gr-qc,1350
cond-mat.mtrl-sci,1219
cond-mat.mes-hall,1206
cond-mat.str-el,1080
cond-mat.stat-mech,997
math-ph,836
nucl-th,777
math.AG,757
math.PR,715
hep-ex,672
cond-mat.supr-con,671
