year,count
2007,11794
2008,9390
2009,11821
2010,1474
2011,1510
2012,540
2013,360
2014,559
2015,988
2016,469
2017,263
2018,81
2019,461
2020,84
2021,53
2022,46
2023,35
2024,26
2025,28
