primary_category,count
hep-ph,139566
cs.CV,133130
quant-ph,123948
cs.LG,118664
hep-th,110653
astro-ph,94216
cs.CL,72818
gr-qc,69071
cond-mat.mtrl-sci,67527
cond-mat.mes-hall,67495
math.AP,54736
astro-ph.GA,52216
cond-mat.str-el,51149
math.CO,50629
astro-ph.SR,46675
astro-ph.HE,43993
astro-ph.CO,43374
cond-mat.stat-mech,42656
math.PR,42358
math.AG,38672
cs.IT,38152
math.OC,36648
math.NT,35677
nucl-th,34961
cs.RO,34334
physics.optics,33542
math-ph,33357
cond-mat.supr-con,33232
math.NA,33144
cs.AI,31781
