primary_category,count
astro-ph,3605
hep-ph,1400
hep-th,1271
quant-ph,1133
gr-qc,683
cond-mat.mes-hall,674
cond-mat.mtrl-sci,619
cond-mat.str-el,596
cond-mat.stat-mech,510
math.AG,405
math-ph,400
nucl-th,372
cond-mat.supr-con,365
cond-mat.other,365
hep-ex,360
