primary_category,count
astro-ph,5452
hep-ph,2215
hep-th,1859
quant-ph,1623
gr-qc,1007
cond-mat.mtrl-sci,951
cond-mat.mes-hall,929
cond-mat.str-el,848
cond-mat.stat-mech,750
math-ph,595
math.AG,584
nucl-th,543
cond-mat.supr-con,532
math.PR,521
cond-mat.other,520
