year,count
2007,9080
2008,6833
2009,8997
2010,1068
2011,1023
2012,413
2013,268
2014,407
2015,751
2016,363
2017,165
2018,59
2019,352
2020,57
2021,45
2022,34
2023,31
2024,15
2025,23
