abslen_decile,avg_abslen,avg_versions
1,224.0766153230646,1.5273054610922185
2,387.36794717887153,1.539015606242497
3,497.2464985994398,1.554421768707483
4,586.4241696678671,1.5738295318127251
5,672.1062424969988,1.5826330532212884
6,768.3619447779112,1.5868347338935573
7,884.530412164866,1.558623449379752
8,1031.1754701880752,1.5550220088035214
9,1247.000200080032,1.5578231292517006
10,1611.877951180472,1.5346138455382152
