author,cat_earliest,cat_latest
 Doug Pickrell,math.FA,math.SG
 Douglas Natelson,cond-mat.mtrl-sci,cond-mat.mes-hall
 Dov Levine,cond-mat.soft,cond-mat.stat-mech
 Dragan Slavkov Hajdukovic,physics.gen-ph,gr-qc
 Dragomir N. Neshev,nlin.PS,physics.optics
 Dragomir Z. Djokovic,math.AC,math.CO
 Dubi Kelmer,math.NT,math-ph
 Duccio Fanelli,physics.soc-ph,cond-mat.stat-mech
 Duncan A. Brown,gr-qc,astro-ph
 Dung-Hai Lee,cond-mat.supr-con,cond-mat.mes-hall
 Dušan Repovš,math.GT,math.GN
 E. -M. Ilgenfritz,hep-ph,hep-lat
 E. A. Cornell,cond-mat.soft,cond-mat.mes-hall
 E. A. Demler,cond-mat.other,quant-ph
 E. A. Hinds,cond-mat.supr-con,quant-ph
 E. A. Leicht,physics.soc-ph,physics.data-an
 E. Abdalla,hep-th,astro-ph
 E. Agliari,cond-mat.stat-mech,physics.data-an
 E. Akkermans,cond-mat.mes-hall,cond-mat.dis-nn
 E. Arenholz,cond-mat.str-el,cond-mat.mtrl-sci
 E. B. Sonin,cond-mat.mes-hall,cond-mat.soft
 E. Barkai,physics.optics,cond-mat.stat-mech
 E. Bauer,nucl-th,cond-mat.supr-con
 E. Bell,astro-ph,nucl-ex
 E. Ben-Naim,cond-mat.stat-mech,cond-mat.soft
 E. Bodo,astro-ph,physics.chem-ph
 E. Brion,quant-ph,astro-ph
 E. C. Marino,hep-th,cond-mat.dis-nn
 E. Caliceti,math-ph,physics.comp-ph
 E. Coccia,gr-qc,physics.chem-ph
 E. Costanzo,gr-qc,hep-ph
 E. D. Belokolos,nlin.AO,nlin.CD
 E. D. Williams,cond-mat.mtrl-sci,cond-mat.other
 E. D. Zimmerman,hep-ph,hep-ex
 E. De Ranieri,cond-mat.mes-hall,cond-mat.mtrl-sci
 E. Ercolessi,quant-ph,cond-mat.str-el
 E. F. Brown,nucl-ex,astro-ph
 E. Feigin,math.QA,hep-th
 E. G. Adelberger,gr-qc,astro-ph
 E. G. Galkina,cond-mat.mes-hall,cond-mat.other
 E. Giannini,cond-mat.supr-con,cond-mat.mtrl-sci
 E. Goldobin,cond-mat.supr-con,cond-mat.mes-hall
 E. Gourgoulhon,gr-qc,astro-ph
 E. Guitter,cond-mat.stat-mech,math-ph
 E. Gustafsson,physics.atom-ph,physics.optics
 E. Gutz,nucl-ex,hep-ph
 E. H. Hwang,cond-mat.mtrl-sci,cond-mat.mes-hall
 E. Hernández,hep-ph,nucl-th
 E. J. Copeland,hep-th,hep-ph
 E. J. Heller,cond-mat.mes-hall,nlin.CD
 E. J. Kim,cs.DM,cs.DS
 E. J. Mele,cond-mat.mes-hall,cond-mat.mtrl-sci
 E. Jespers,math.KT,math.RA
 E. Jiganov,nucl-ex,hep-ex
 E. Katzav,cond-mat.mtrl-sci,cond-mat.stat-mech
 E. Kearns,hep-ph,nucl-ex
 E. Kemp,hep-ex,astro-ph
 E. Khajeh,hep-ph,hep-th
 E. Konishi,hep-ex,hep-ph
 E. Kovalchuk,hep-ph,cond-mat.other
 E. L. Wright,astro-ph,gr-qc
 E. M. Chudnovsky,cond-mat.supr-con,cond-mat.stat-mech
 E. M. Drobyshevski,physics.ins-det,astro-ph
 E. M. Rasel,quant-ph,physics.atom-ph
 E. Marinari,cond-mat.dis-nn,cs.AR
 E. Medina,math-ph,nlin.SI
 E. Miranda,cond-mat.dis-nn,quant-ph
 E. Morenzoni,cond-mat.dis-nn,cond-mat.supr-con
 E. N. Saridakis,hep-th,astro-ph
 E. Nappi,physics.ins-det,nucl-ex
 E. Oset,hep-ph,nucl-th
 E. Ostrovsky,math.PR,math.ST
 E. P. S. Shellard,hep-ph,astro-ph
 E. P. Yukalova,cond-mat.dis-nn,cond-mat.stat-mech
 E. Paladino,cond-mat.mes-hall,cond-mat.stat-mech
 E. Perfetto,cond-mat.str-el,cond-mat.mes-hall
 E. Piasetzky,nucl-th,nucl-ex
 E. Pomjakushina,cond-mat.other,cond-mat.supr-con
 E. Predazzi,hep-ph,quant-ph
 E. R. F. Ramos,quant-ph,cond-mat.stat-mech
 E. Rondio,hep-ph,hep-ex
 E. Rotenberg,cond-mat.supr-con,cond-mat.mes-hall
 E. Seiler,hep-th,hep-lat
 E. Solano,astro-ph,quant-ph
 E. Stephenson,nucl-ex,hep-ex
 E. T. Tomboulis,hep-th,hep-lat
 E. Tafra,cond-mat.mtrl-sci,cond-mat.supr-con
 E. Takayama-Muromachi,cond-mat.mtrl-sci,cond-mat.supr-con
 E. Tiemann,cond-mat.other,physics.atom-ph
 E. Tiesinga,cond-mat.other,physics.atom-ph
 E. V. Correa Silva,math-ph,gr-qc
 E. V. Ferapontov,math.DG,nlin.SI
 E. W. Carlson,cond-mat.supr-con,cond-mat.mes-hall
 E. W. Schmidt,physics.atom-ph,astro-ph
 E. Zeldov,cond-mat.mes-hall,cond-mat.supr-con
 Eanna E. Flanagan,astro-ph,gr-qc
 Eberhard H. -A. Gerbracht,math.CA,math.HO
 Eberhard Mayerhofer,math.AP,math.GM
 Eckehard Schoell,nlin.PS,nlin.CD
 Eckehard W. Mielke,hep-th,astro-ph
 Edgar Delgado-Eckert,math.AC,math.DS
 Edith Hemaspaandra,cs.GT,cs.CC
 Edmund M. Yeh,cs.IT,cs.NI
 Edoardo M Airoldi,q-bio.MN,q-bio.QM
 Edoardo Milotti,physics.hist-ph,cond-mat.soft
 Eduardo J. S. Villaseñor,gr-qc,quant-ph
 Eduardo R. Mucciolo,quant-ph,cond-mat.mes-hall
 Edward A. Baltz,hep-ph,astro-ph
 Edward Farhi,cond-mat.stat-mech,quant-ph
 Edward G. Effros,math.LO,math-ph
 Edward Ott,nlin.CD,cond-mat.dis-nn
 Edward Shuryak,hep-th,hep-ph
 Edward W. Piotrowski,physics.data-an,q-fin.PM
 Edward Witten,hep-th,math.RT
 Eero Saksman,math.FA,math.CV
 Efthimios Kaxiras,physics.comp-ph,cond-mat.mtrl-sci
 Efton Park,math.OA,math.KT
 Ehud Altman,cond-mat.dis-nn,cond-mat.supr-con
 Eite Tiesinga,cond-mat.other,physics.atom-ph
 Elbert E. M. Chia,cond-mat.str-el,cond-mat.supr-con
 Elchanan Mossel,cs.DS,cs.CC
 Elemer E Rosinger,math.GM,physics.gen-ph
 Elena Degoli,cond-mat.mtrl-sci,cond-mat.other
 Elena Poletaeva,hep-th,math-ph
 Eli Barkai,physics.optics,cond-mat.stat-mech
 Eli Waxman,astro-ph,hep-ph
 Elisabeth Werner,quant-ph,math.MG
 Elizabeth Meckes,math.PR,math.SP
 Elizabeth Winstanley,hep-th,astro-ph
 Elliot P. Kanter,physics.chem-ph,physics.atom-ph
 Elliott H. Lieb,cond-mat.mes-hall,stat.ML
 Elmar Bittner,hep-lat,cond-mat.stat-mech
 Elvira Gamiz,hep-ph,hep-lat
 Emanuel Katz,hep-ph,hep-th
 Emanuela Zaccarelli,cond-mat.soft,cond-mat.dis-nn
 Emanuele Berti,gr-qc,astro-ph
 Emilio Elizalde,hep-th,gr-qc
 Emily R. Peterson,physics.chem-ph,physics.atom-ph
 Emmanuel Roy,math.DS,math.PR
 Ender Ayanoglu,cs.OH,cs.IT
 Enrico Calzavarini,physics.flu-dyn,nlin.CD
 Enrico Priola,math.AP,math.PR
 Enrico Santamato,quant-ph,physics.optics
 Enrico Scalas,q-fin.TR,cond-mat.stat-mech
 Enrique Miranda,math.PR,math.FA
 Enrique Solano,astro-ph,cond-mat.mes-hall
 Enrique ter Horst,cs.CE,cs.LG
 Eran Segev,cond-mat.mes-hall,cond-mat.supr-con
 Erasmo Recami,physics.hist-ph,physics.class-ph
 Erez Berg,cond-mat.str-el,cond-mat.supr-con
 Erhan Bayraktar,cs.CE,q-fin.PM
 Eric A. Carlen,math-ph,math.FA
 Eric C. Rowell,math.QA,quant-ph
 Eric Cances,quant-ph,physics.comp-ph
 Eric Feron,math.OC,cs.OH
 Eric Jaligot,math.GR,math.LO
 Eric Lutz,quant-ph,cond-mat.stat-mech
 Eric P Xing,q-bio.MN,stat.ME
 Eric Rowell,math.GT,math.QA
 Erica Flapan,q-bio.BM,math.GT
 Erich Poppitz,hep-lat,hep-ph
 Erik Elfgren,hep-ph,astro-ph
 Erik Nielsen,cond-mat.str-el,cond-mat.stat-mech
 Erik Schnetter,cs.DC,gr-qc
 Erwin Frey,cond-mat.soft,q-bio.CB
 Esteban Moro,q-fin.ST,physics.soc-ph
 Etera R. Livine,hep-th,gr-qc
 Etsuji Yamamoto,cond-mat.supr-con,cond-mat.str-el
 Eugen J. Ionascu,math.NT,math.CO
 Eugen Paal,math.RT,math-ph
 Eugen Zalinescu,cs.LO,cs.CR
 Eugene B. Kolomeisky,cond-mat.stat-mech,cond-mat.mes-hall
 Eugene Demler,cond-mat.mes-hall,cond-mat.supr-con
 Eugene S. Polzik,cond-mat.other,quant-ph
 Eugene Strahov,math.CO,math-ph
 Eun-Ah Kim,cond-mat.str-el,cond-mat.supr-con
 Eva Riccomagno,stat.ME,math.CO
 Ewa Krot-Sieniawska,math.GM,math.CO
 Ewald Mueller,astro-ph,gr-qc
 Eyal Buks,cond-mat.mes-hall,cond-mat.supr-con
 Eytan Katzav,cond-mat.dis-nn,cond-mat.stat-mech
 Ezequiel Alvarez,hep-ph,quant-ph
 Ezio Vasselli,math.OA,math.AT
 F. A. Schaposnik,hep-ph,hep-th
 F. Alet,cond-mat.stat-mech,cond-mat.str-el
 F. Ambrosino,hep-ex,physics.ins-det
 F. Belletti,hep-lat,cs.AR
 F. Bernardot,cond-mat.other,cond-mat.mes-hall
 F. Borgonovi,quant-ph,cond-mat.stat-mech
 F. Borondics,cond-mat.str-el,cond-mat.mtrl-sci
 F. Briscese,gr-qc,hep-th
 F. C. Khanna,quant-ph,hep-th
 F. C. Lombardo,hep-th,quant-ph
 F. Campelo,cond-mat.soft,q-bio.QM
 F. Cannata,gr-qc,hep-th
 F. Caruso,physics.geo-ph,cond-mat.mtrl-sci
 F. Confortola,nucl-ex,math.PR
 F. D. M. Haldane,cond-mat.str-el,cond-mat.mes-hall
 F. D. Mazzitelli,hep-th,quant-ph
 F. Daneshgaran,cs.IT,cs.NI
 F. Delaunay,nucl-ex,nucl-th
 F. Delgado,math.AG,cond-mat.str-el
 F. F. Balakirev,cond-mat.str-el,cond-mat.supr-con
 F. Family,cond-mat.soft,cond-mat.stat-mech
 F. G. G. Hernandez,cond-mat.mtrl-sci,physics.optics
 F. G. Scholtz,quant-ph,hep-th
 F. Gelis,nucl-th,hep-ph
 F. Ginelli,cond-mat.stat-mech,nlin.CD
 F. Gomez,math-ph,astro-ph
 F. Guinea,cond-mat.mtrl-sci,cond-mat.mes-hall
 F. Haas,nucl-ex,hep-ex
 F. Herfurth,nucl-ex,physics.atom-ph
 F. Hiai,math.PR,quant-ph
 F. Hinterberger,nucl-th,hep-ex
 F. J. Garcia de Abajo,cond-mat.other,cond-mat.mtrl-sci
 F. J. Garcia-Vidal,cond-mat.mes-hall,cond-mat.other
 F. J. Herranz,nucl-th,math.QA
 F. Jarai-Szabo,physics.atom-ph,cond-mat.mtrl-sci
 F. Jelezko,quant-ph,cond-mat.mtrl-sci
 F. Jenko,cond-mat.stat-mech,physics.flu-dyn
 F. Juget,hep-ex,physics.ins-det
 F. K. Diakonos,hep-ph,hep-th
 F. Karsch,hep-lat,hep-ph
 F. Klein,hep-ex,hep-ph
 F. Krüger,cond-mat.supr-con,cond-mat.other
 F. Kun,cond-mat.stat-mech,cond-mat.mtrl-sci
 F. L. H. Wolfs,physics.ins-det,nucl-ex
 F. Levy,cond-mat.supr-con,physics.optics
 F. Leyvraz,quant-ph,cond-mat.stat-mech
 F. Liu,nucl-th,stat.ME
 F. Loeser,physics.ins-det,math.RT
 F. Lombardi,cond-mat.mtrl-sci,cs.IT
 F. M. Izrailev,cond-mat.dis-nn,cond-mat.mes-hall
 F. M. Peeters,cond-mat.supr-con,cond-mat.mes-hall
 F. Maaroufi,physics.soc-ph,physics.ins-det
 F. Malek,physics.soc-ph,physics.ins-det
 F. Mancini,cond-mat.str-el,cond-mat.mes-hall
 F. Mantovani,hep-ph,cs.AR
 F. Montes,nucl-ex,astro-ph
 F. Mueller,math.DG,physics.optics
 F. Natali,cond-mat.other,math.AP
 F. Nazarov,math-ph,math.PR
 F. Nori,quant-ph,cond-mat.mes-hall
 F. P. Mancini,cond-mat.supr-con,cond-mat.str-el
 F. Palla,hep-ph,astro-ph
 F. Perez-Bernal,astro-ph,nucl-ex
 F. Petruccione,math-ph,quant-ph
 F. Popescu,cond-mat.mtrl-sci,cond-mat.supr-con
 F. R. Cohen,math.GR,math.AT
 F. R. Urban,astro-ph,hep-ph
 F. Ritort,cond-mat.stat-mech,physics.bio-ph
 F. Robicheaux,quant-ph,nucl-ex
 F. Rullier-Albenque,cond-mat.str-el,cond-mat.supr-con
 F. S. Bemfica,math-ph,hep-th
 F. Schmidt-Kaler,quant-ph,gr-qc
 F. Simon,cond-mat.str-el,cond-mat.mtrl-sci
 F. Spill,hep-th,math.QA
 F. Stefani,cond-mat.mtrl-sci,astro-ph
 F. Stienkemeier,physics.atm-clus,cond-mat.soft
 F. T. Arecchi,nlin.CD,quant-ph
 F. T. Vasko,cond-mat.mtrl-sci,cond-mat.other
 F. Toigo,cond-mat.stat-mech,cond-mat.other
 F. Toschi,nlin.CG,nlin.CD
 F. Vallentin,math.MG,math.OC
 F. Vazquez,physics.soc-ph,cond-mat.stat-mech
 F. Wang,cond-mat.supr-con,hep-ph
 F. Yen,cond-mat.mtrl-sci,cond-mat.str-el
 F. de los Santos,astro-ph,quant-ph
 Fa Wang,cond-mat.str-el,cond-mat.stat-mech
 Fabio Cecconi,q-bio.GN,cond-mat.stat-mech
 Fabio Musso,q-bio.QM,math-ph
 Fabrice Gamboa,math.ST,math.PR
 Fabrizio Altarelli,cond-mat.stat-mech,cs.CC
 Fabrizio Canfora,gr-qc,cond-mat.stat-mech
 Fabrizio Illuminati,quant-ph,hep-ph
 Fabrizio Lillo,physics.data-an,q-fin.ST
 Fan Wang,hep-ph,cond-mat.str-el
 Fan Xu,math.QA,math.RT
 Fan Yang,physics.soc-ph,physics.atom-ph
 Fan Zhang,astro-ph,cs.NI
 Fang-Pei Chen,gr-qc,physics.gen-ph
 Fangwei Ye,physics.optics,nlin.PS
 Farhan Rana,cond-mat.mes-hall,cond-mat.mtrl-sci
 Farida Tahir,nucl-ex,hep-ph
 Farkhod Eshmatov,math.RT,math-ph
 Fazal M. Mahomed,math.CA,gr-qc
 Federica Lo Verso,cond-mat.soft,cond-mat.stat-mech
 Federico Benitez,cond-mat.stat-mech,astro-ph
 Federico Camia,math-ph,math.PR
 Federico Capasso,cond-mat.other,physics.comp-ph
 Federico Iori,cond-mat.mtrl-sci,cond-mat.other
 Federico Ricci-Tersenghi,cond-mat.dis-nn,cs.AI
 Fedor Nazarov,math.CA,math-ph
 Felipe Cucker,math.DS,math.PR
 Feng Yuan,hep-ph,astro-ph
 Feng-Li Lin,hep-th,quant-ph
 Fengshan Bai,cs.CC,cond-mat.stat-mech
 Ferdinand Brennecke,quant-ph,hep-th
 Ferdinand Evers,cond-mat.mtrl-sci,cond-mat.mes-hall
 Ferenc Kun,physics.soc-ph,cond-mat.dis-nn
 Fernando F. Ferreira,q-fin.TR,nlin.CD
 Fernando Haas,math-ph,physics.plasm-ph
 Fernando Muro,math.KT,math.AT
 Fernando Pérez,math.NA,math-ph
 Ferran Hurtado,math.CO,cs.CG
 Feyza Keceli,cs.OH,cs.IT
 Fiammetta Battaglia,math.AG,math.SG
 Filippo Caruso,quant-ph,cond-mat.stat-mech
 Flavio Mercati,gr-qc,hep-th
 Florent Hivert,math.RT,math.CO
 Florentin Smarandache,math.GM,stat.ME
 Florian Girelli,hep-th,gr-qc
 Forrest Sheng Bao,cs.AI,cs.LG
 Francesc Ferrer,astro-ph,hep-th
 Francesca Mantese,math.RA,math.KT
 Francesca Pozzi,quant-ph,cond-mat.other
 Francesca Rossi,cs.AI,cs.LO
 Francesco Bariani,cond-mat.other,physics.optics
 Francesco Knechtli,hep-lat,hep-ph
 Francesco Longo,physics.comp-ph,astro-ph
 Francesco Mainardi,math.PR,math-ph
 Francesco Piazza,physics.bio-ph,q-bio.BM
 Francesco Zonta,cond-mat.stat-mech,physics.flu-dyn
 Francis Bach,cs.CV,cs.AI
 Francisco A. Rodrigues,cond-mat.dis-nn,physics.soc-ph
 Francisco D. Mazzitelli,gr-qc,quant-ph
 Francisco J. Solis,cond-mat.soft,cond-mat.stat-mech
 Franco Bagnoli,cs.DB,cs.MA
 Franco Dalfovo,cond-mat.supr-con,cond-mat.stat-mech
 Franco V. Saliola,math.CO,math.RT
 Francois Arleo,nucl-th,hep-ph
 Francois Petrelis,nlin.CD,cond-mat.stat-mech
 Frank Göhmann,cond-mat.stat-mech,math-ph
 Frank J. Tipler,hep-th,physics.pop-ph
 Frank Morgan,math.DG,math.MG
 Frank Pollmann,quant-ph,cond-mat.str-el
 Frank Reifler,gr-qc,quant-ph
 Frank Schweitzer,nlin.AO,q-fin.PM
 Frank Vallentin,math.MG,math.CO
 Frank Wilczek,hep-ph,cond-mat.supr-con
 Frank X. Lee,hep-lat,nucl-th
 Franz E. Schunck,gr-qc,astro-ph
 Freddy P. Zen,astro-ph,hep-th
 Frederic Mila,cond-mat.str-el,cond-mat.other
 Frederic Patras,math-ph,math.CO
 Frederick Casper,physics.comp-ph,cond-mat.mtrl-sci
 Frederique Grassi,nucl-th,nucl-ex
 Friedrich W. Hehl,gr-qc,physics.class-ph
 Fritz Gesztesy,math.SP,math.AP
 Frédéric Déglise,math.CT,math.AG
 Fu-Chun Zhang,cond-mat.supr-con,cond-mat.other
 G M Schmiedeshoff,cond-mat.mtrl-sci,cond-mat.other
 G. -D. Lin,cond-mat.other,cond-mat.supr-con
 G. -M. Greuel,math.AG,math.AC
 G. A. Medina-Tanco,astro-ph,nucl-th
 G. A. Monerat,math-ph,gr-qc
 G. Aeppli,cond-mat.other,cond-mat.str-el
 G. Allodi,cond-mat.mtrl-sci,cond-mat.str-el
 G. Anton,nucl-ex,hep-ph
 G. Balakrishnan,cond-mat.supr-con,cond-mat.str-el
 G. Bari,hep-ex,astro-ph
 G. Battistoni,hep-ph,astro-ph
 G. Beer,nucl-ex,cs.AR
 G. Behr,cond-mat.supr-con,cond-mat.mtrl-sci
 G. Belanger,astro-ph,hep-ph
 G. Bevilacqua,hep-ph,physics.atom-ph
 G. Biroli,cond-mat.soft,cond-mat.str-el
 G. Blumberg,cond-mat.supr-con,cond-mat.str-el
 G. Brodin,physics.plasm-ph,cond-mat.other
 G. Bruno,hep-ex,astro-ph
 G. Bunce,nucl-ex,hep-ex
 G. C. Guo,quant-ph,cond-mat.mes-hall
 G. C. Levine,cond-mat.mes-hall,cond-mat.str-el
 G. C. Strinati,cond-mat.other,cond-mat.supr-con
 G. Cantele,cond-mat.mtrl-sci,cond-mat.other
 G. Cavoto,hep-ph,hep-ex
 G. Chen,quant-ph,cs.PL
 G. Costantini,cond-mat.stat-mech,quant-ph
 G. Cristiani,astro-ph,cond-mat.str-el
 G. Crosetti,hep-ph,hep-ex
 G. D. Gu,cond-mat.supr-con,cond-mat.str-el
 G. Dattoli,math.CO,math-ph
 G. De Mey,cond-mat.mtrl-sci,physics.gen-ph
 G. Diaz,cs.CE,cs.DC
 G. E. Astrakharchik,cond-mat.stat-mech,cond-mat.other
 G. E. Brown,nucl-th,astro-ph
 G. E. Marques,cond-mat.other,cond-mat.mes-hall
 G. Eichmann,nucl-th,hep-ph
 G. Evenbly,quant-ph,cond-mat.str-el
 G. F. Bertsch,nucl-th,cond-mat.other
 G. Fabbri,math.OC,math.PR
 G. Faini,cond-mat.mes-hall,cond-mat.mtrl-sci
 G. Fazio,nucl-th,astro-ph
 G. Flores-Hidalgo,cond-mat.stat-mech,quant-ph
 G. G. N. Angilella,cond-mat.other,cond-mat.str-el
 G. Gaeta,math-ph,q-bio.BM
 G. Garbarino,nucl-th,cond-mat.str-el
 G. Gratta,physics.ins-det,physics.gen-ph
 G. Gutin,cs.DM,cs.DS
 G. H. Lander,cond-mat.str-el,cond-mat.other
 G. I. Britvich,hep-ex,physics.ins-det
 G. I. Gakh,hep-ph,nucl-th
 G. Ivanov,nucl-ex,hep-ex
 G. J. Baxter,cs.SE,cond-mat.stat-mech
 G. J. Milburn,quant-ph,cond-mat.mes-hall
 G. J. Wagner,nucl-ex,hep-ex
 G. Jones,cond-mat.mtrl-sci,quant-ph
 G. Khaliullin,cond-mat.supr-con,cond-mat.str-el
 G. Klupp,cond-mat.str-el,cond-mat.mtrl-sci
 G. Kohse,physics.ins-det,astro-ph
 G. Kramer,cs.IT,hep-ph
 G. L. Comer,gr-qc,astro-ph
 G. L. Greene,hep-ph,nucl-ex
 G. Lamanna,astro-ph,physics.ins-det
 G. Leuchs,cond-mat.other,quant-ph
 G. Li,hep-lat,cond-mat.supr-con
 G. Luzón,physics.ins-det,astro-ph
 G. M. Bruun,cond-mat.stat-mech,cond-mat.other
 G. M. Kavoulakis,cond-mat.other,cond-mat.mes-hall
 G. M. Luke,cond-mat.str-el,cond-mat.supr-con
 G. M. Prabhu,physics.class-ph,physics.gen-ph
 G. M. Tino,gr-qc,physics.atom-ph
 G. M. Viswanathan,cond-mat.dis-nn,cond-mat.stat-mech
 G. Manfredi,cond-mat.mes-hall,quant-ph
 G. Marmo,quant-ph,math-ph
 G. Martinez,q-bio.TO,astro-ph
 G. Martinez-Pinedo,nucl-ex,astro-ph
 G. Medeiros-Ribeiro,cond-mat.other,cond-mat.mtrl-sci
 G. Mihaly,cond-mat.mes-hall,cond-mat.str-el
 G. Montambaux,cond-mat.mes-hall,cond-mat.dis-nn
 G. Moultaka,hep-ph,astro-ph
 G. Mukherjee,nucl-ex,q-fin.GN
 G. Mulas,astro-ph,physics.chem-ph
 G. Oliveira-Neto,math-ph,gr-qc
 G. Oshanin,cond-mat.stat-mech,cond-mat.soft
 G. P. Berman,physics.ins-det,cond-mat.mes-hall
 G. P. Mikitik,cond-mat.mtrl-sci,cond-mat.supr-con
 G. P. Pronko,hep-ph,math-ph
 G. P. Vacca,hep-th,hep-ph
 G. Palasantzas,cond-mat.other,cond-mat.mtrl-sci
 G. Parisi,cond-mat.dis-nn,cs.AR
 G. Pignol,nucl-ex,hep-ph
 G. R. Li,cond-mat.mtrl-sci,cond-mat.mes-hall
 G. Rempe,cond-mat.stat-mech,physics.atom-ph
 G. Ron,nucl-th,nucl-ex
 G. Ruocco,physics.flu-dyn,cond-mat.dis-nn
 G. S. Adams,hep-ph,hep-ex
 G. S. Asanov,math-ph,math.DG
 G. S. Kliros,cond-mat.mtrl-sci,cond-mat.mes-hall
 G. S. Vartanov,hep-th,hep-ph
 G. Salinas,physics.ins-det,astro-ph
 G. Saracino,hep-ex,physics.ins-det
 G. Sartorelli,hep-ex,astro-ph
 G. Satta,hep-ph,hep-th
 G. Scarpetta,gr-qc,astro-ph
 G. Schuck,cond-mat.mtrl-sci,cond-mat.supr-con
 G. Sciolla,physics.ins-det,astro-ph
 G. Suft,nucl-ex,hep-ph
 G. T. Barkema,physics.geo-ph,cond-mat.stat-mech
 G. T. Seidler,cond-mat.str-el,cond-mat.mtrl-sci
 G. T. Zatsepin,hep-ex,astro-ph
 G. Tarjus,cond-mat.dis-nn,cond-mat.stat-mech
 G. Torrieri,nucl-th,hep-ph
 G. Unel,hep-ph,hep-ex
 G. V. Bicknell,astro-ph,gr-qc
 G. V. Shlyapnikov,cond-mat.stat-mech,cond-mat.str-el
 G. V. Vereshchagin,physics.plasm-ph,astro-ph
 G. Vereshkov,gr-qc,astro-ph
 G. W. Hammett,physics.comp-ph,astro-ph
 G. Watt,hep-ph,physics.ins-det
 G. Wilk,hep-ph,nucl-th
 G. Wu,cond-mat.supr-con,cond-mat.str-el
 G. Y. Guo,cond-mat.mtrl-sci,cond-mat.mes-hall
 G. Zarand,cond-mat.mes-hall,cond-mat.mtrl-sci
 G. Zhu,cs.OH,hep-ph
 G. Zoupanos,hep-th,hep-ph
 G. de Loubens,cond-mat.mes-hall,cond-mat.other
 Gabe Shaughnessy,hep-ph,astro-ph
 Gabor Ivanyos,quant-ph,math.RA
 Gabor Kun,cs.CC,math.CO
 Gabriel Navarro,math.RA,math.RT
 Gabriela Gonzalez,gr-qc,astro-ph
 Gabriela Slipek,hep-ph,nucl-th
 Gabriele Grillo,math.AP,math.FA
 Gabrielle Allen,cs.DC,cs.PF
 Gad Frenkel,cond-mat.mtrl-sci,cond-mat.stat-mech
 Gadi Fibich,math-ph,nlin.PS
 Gaetano Fiore,math.QA,hep-th
 Gail C. McLaughlin,hep-ph,astro-ph
 Galit Shmueli,stat.AP,stat.CO
 Gang Chen,astro-ph,quant-ph
 Gang Wu,cond-mat.mes-hall,cond-mat.mtrl-sci
 Gareth O. Roberts,stat.ME,q-fin.ST
 Gary R. Goldstein,hep-ph,physics.hist-ph
 Gary S. Grest,cond-mat.soft,cond-mat.mtrl-sci
 Gary T. Horowitz,astro-ph,hep-th
 Gaurav Khanna,gr-qc,physics.comp-ph
 Genadi Levin,math.GN,math.DS
 Genkai Zhang,math.FA,math.CA
 Gennaro Miele,q-bio.MN,astro-ph
 Gentaro Watanabe,cond-mat.other,nucl-th
 Geoffrey Sewell,math-ph,quant-ph
 Georg M. von Hippel,physics.comp-ph,hep-lat
 George Bogoslovsky,gr-qc,hep-th
 George Contopoulos,astro-ph,quant-ph
 George D. Tsibidis,q-bio.OT,q-bio.SC
 George E. A. Matsas,physics.class-ph,gr-qc
 George Svetlichny,math-ph,quant-ph
 Georgi S. Medvedev,nlin.AO,nlin.CD
 Georgi Vodev,math-ph,math.AP
 Gerald E. Marsh,gr-qc,physics.gen-ph
 Gerald Teschl,math.SP,nlin.SI
 Gerald W. Schwarz,math.RT,math.GR
 Gerard Clement,gr-qc,hep-th
 Gerardo Cristofano,cond-mat.supr-con,quant-ph
 Gerardo Ortiz,cond-mat.stat-mech,cond-mat.str-el
 Gerasim Kokarev,math.GT,math.DG
 Gerhard Klimeck,cond-mat.mtrl-sci,quant-ph
 Gerhard Roehrle,math.GR,math.RT
 Gerhard W. Bruhn,math-ph,physics.class-ph
 Gernot Akemann,hep-th,hep-lat
 Gernot Schaller,cs.NA,quant-ph
 Gert de Cooman,math.PR,math.FA
 Gestur Olafsson,math.FA,math.RT
 Gheorghe Nenciu,math-ph,cond-mat.mes-hall
 Giancarlo Ruocco,physics.optics,cond-mat.dis-nn
 Gianluca Cassese,math.PR,math.FA
 Gianpaolo Oriolo,math.OC,math.CO
 Gil Refael,cond-mat.supr-con,cond-mat.mes-hall
 Gilberto M. Kremer,gr-qc,cond-mat.stat-mech
 Gilles Montambaux,cond-mat.dis-nn,cond-mat.mes-hall
 Ginestra Bianconi,q-bio.MN,cond-mat.dis-nn
 Giorgio Volpe,physics.optics,physics.data-an
 Giovanna Morigi,quant-ph,cond-mat.other
 Giovanni Gaiffi,math.DG,math.AG
 Giovanni Gallavotti,physics.class-ph,cond-mat.stat-mech
 Giovanni Lapenta,physics.comp-ph,astro-ph
 Giovanni Paolo Procopio,hep-th,gr-qc
 Giovanni Vignale,cond-mat.mes-hall,cond-mat.mtrl-sci
 Giovanni Volpe,physics.optics,physics.data-an
 Giulia Gubitosi,gr-qc,hep-th
 Giuliano Benenti,cond-mat.stat-mech,quant-ph
 Giuseppe E. Santoro,cond-mat.other,cond-mat.mtrl-sci
 Giuseppe Gaeta,physics.class-ph,q-bio.BM
 Giuseppe Marmo,math-ph,quant-ph
 Giuseppe Pucacco,math.DG,nlin.SI
 Giuseppe Ruzzi,math-ph,math.AT
 Giuseppe Savare,math.PR,math.AP
