author,cat_earliest,cat_latest
 A. K. Arora,physics.optics,cond-mat.mtrl-sci
 A. K. Khitrin,cond-mat.other,quant-ph
 A. K. Rajagopal,physics.optics,quant-ph
 A. K. Shukla,cond-mat.str-el,cond-mat.other
 A. K. Singh,gr-qc,cond-mat.mtrl-sci
 A. Kaboth,physics.ins-det,astro-ph
 A. Kamenev,cond-mat.other,cond-mat.stat-mech
 A. Kapitulnik,gr-qc,cond-mat.supr-con
 A. Kellerbauer,nucl-ex,hep-ex
 A. Kjekshus,cond-mat.mtrl-sci,cond-mat.soft
 A. Klümper,cond-mat.str-el,nlin.SI
 A. Knorr,physics.optics,cond-mat.mes-hall
 A. Kumar,hep-ex,cond-mat.other
 A. Kusaka,hep-ex,physics.ins-det
 A. Kuznetsov,physics.ins-det,hep-ex
 A. L. Carey,math.KT,math.OA
 A. L. Owczarek,cond-mat.soft,cond-mat.stat-mech
 A. Laeuchli,cond-mat.str-el,cond-mat.stat-mech
 A. Lambrecht,quant-ph,cond-mat.other
 A. Langari,cond-mat.dis-nn,quant-ph
 A. Lemaitre,cond-mat.mtrl-sci,astro-ph
 A. Lesfari,math.CV,math.AG
 A. Lindner,cond-mat.soft,hep-ph
 A. Loidl,cond-mat.dis-nn,cond-mat.mtrl-sci
 A. Lopez,cond-mat.supr-con,hep-ex
 A. Lorke,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Losev,cond-mat.other,math.QA
 A. M. Fox,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. M. Frydryszak,hep-th,quant-ph
 A. M. Grundland,math-ph,math.DG
 A. M. Kamchatnov,nlin.PS,nlin.SI
 A. M. Mathai,math.PR,math.CA
 A. M. Scarfone,cond-mat.stat-mech,astro-ph
 A. M. Tkachuk,cond-mat.dis-nn,cond-mat.mes-hall
 A. Maiorano,cond-mat.dis-nn,cs.AR
 A. Mann,cond-mat.dis-nn,hep-ex
 A. Marini,gr-qc,cond-mat.mtrl-sci
 A. Masiero,astro-ph,hep-ph
 A. Matsumoto,cond-mat.soft,cond-mat.supr-con
 A. Mazumdar,hep-ph,astro-ph
 A. Mello,cond-mat.mtrl-sci,cond-mat.soft
 A. Minguzzi,cond-mat.dis-nn,cond-mat.other
 A. Misaki,hep-ex,astro-ph
 A. Montina,nlin.CD,quant-ph
 A. Moreo,cond-mat.mtrl-sci,cond-mat.str-el
 A. Muller,cond-mat.mes-hall,hep-ph
 A. Muñoz-Sudupe,cond-mat.dis-nn,cs.AR
 A. Müller,physics.atom-ph,astro-ph
 A. N. Mitra,cond-mat.soft,hep-ph
 A. N. Sekar Iyengar,physics.plasm-ph,physics.med-ph
 A. N. Sergeev,math.QA,math.RT
 A. N. Sissakian,hep-ph,nucl-th
 A. N. Vasiliev,hep-ex,cond-mat.other
 A. Naddeo,cond-mat.str-el,hep-th
 A. Nakamura,hep-lat,gr-qc
 A. Napieralski,cond-mat.mtrl-sci,physics.gen-ph
 A. Narduzzo,cond-mat.str-el,cond-mat.supr-con
 A. Nass,nucl-ex,hep-ex
 A. Nihat Berker,cond-mat.stat-mech,cond-mat.dis-nn
 A. Nucita,gr-qc,astro-ph
 A. O. Sushkov,physics.atom-ph,cond-mat.other
 A. Ohnishi,nucl-th,astro-ph
 A. P. Balachandran,hep-th,astro-ph
 A. P. C. Malbouisson,hep-th,cond-mat.soft
 A. P. Dmitriev,cond-mat.other,cond-mat.dis-nn
 A. P. Levanyuk,cond-mat.stat-mech,cond-mat.mtrl-sci
 A. P. Micolich,cond-mat.stat-mech,cond-mat.soft
 A. P. Szczepaniak,hep-ph,hep-th
 A. P. Veselov,math-ph,math.RT
 A. Papa,hep-ph,hep-lat
 A. Pashkin,cond-mat.other,cond-mat.str-el
 A. Pastore,nucl-th,physics.ins-det
 A. Pe'er,physics.atom-ph,astro-ph
 A. Pesci,hep-ex,astro-ph
 A. Plastino,cond-mat.stat-mech,quant-ph
 A. Pluchino,physics.ins-det,cond-mat.stat-mech
 A. Pocar,physics.ins-det,physics.gen-ph
 A. Policicchio,hep-ph,hep-ex
 A. Politi,cond-mat.stat-mech,nlin.CD
 A. Poluektov,hep-ex,hep-ph
 A. Popov,nucl-ex,astro-ph
 A. Poppe,cond-mat.mtrl-sci,physics.gen-ph
 A. Porta,hep-ex,astro-ph
 A. Pouquet,astro-ph,physics.comp-ph
 A. Povtorejko,nucl-ex,hep-ex
 A. Pozdnoukhov,physics.data-an,q-fin.ST
 A. Qadir,math.CA,astro-ph
 A. R. Bishop,nlin.PS,cond-mat.other
 A. R. Its,math-ph,math.CA
 A. R. Usha Devi,physics.optics,quant-ph
 A. Rastelli,cond-mat.other,cond-mat.mtrl-sci
 A. Rebei,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Recati,cond-mat.soft,cond-mat.other
 A. Renn,cond-mat.other,quant-ph
 A. Rennie,math.KT,math.OA
