year,avg_lexical_richness,avg_token_count
2007,0.7026561292779332,106.34018706660216
2008,0.6906597197405809,115.60014508523757
2009,0.6706505471106046,143.22014206997278
2010,0.6847331915445175,121.70485036119712
2011,0.6883033447912851,116.13198847262248
2012,0.6871407594832138,113.71572871572872
2013,0.69332704106388,110.04250559284117
2014,0.6876044380458014,114.46908602150538
2015,0.6810669748580708,125.648753894081
2016,0.6765475937962498,127.92374350086655
2017,0.6975483732741392,118.14469453376206
2018,0.7023763955647682,95.34545454545454
2019,0.6990390386597459,116.14528301886793
2020,0.6754438734477568,123.02803738317758
2021,0.6768495974214568,106.79452054794521
2022,0.6984562827100572,107.27868852459017
2023,0.6701119313572454,99.82926829268293
2024,0.6788026458145427,111.0204081632653
2025,0.6752552626186602,122.25806451612904
