year,count
2007,145150
2008,69192
2009,228787
2010,56059
2011,61664
2012,57120
2013,71691
2014,87673
2015,214314
2016,132914
2017,121742
2018,134912
2019,153171
2020,173210
2021,184573
2022,187528
2023,214379
2024,260512
2025,317737
