year,count
2007,6166
2008,4376
2009,5982
2010,729
2011,714
2012,257
2013,171
2014,259
2015,513
2016,295
2017,102
2018,48
2019,245
2020,39
2021,29
2022,26
2023,16
2024,12
2025,16
