year,count
2007,145149
2008,69192
2009,228787
2010,56058
2011,61664
2012,57118
2013,71689
2014,87669
2015,214311
2016,132910
2017,121735
2018,134903
2019,153155
2020,173192
2021,184538
2022,187484
2023,214227
2024,259865
2025,324253
