year,doi_rate
2007,0.11843691654782328
2008,0.5820470574632906
2009,0.8825851119163239
2010,0.5330372114595597
2011,0.5184386351842242
2012,0.4116565706082146
2013,0.44825565986413535
2014,0.5142866919891866
2015,0.7557148256505732
2016,0.5571965992024679
2017,0.5089990553250914
2018,0.4763941498706478
2019,0.4449283405700108
2020,0.43689662340061897
2021,0.42317571448698915
2022,0.39585244607539843
2023,0.3234746320491815
2024,0.23966675004329172
2025,0.18443005924386205
