primary_category,count
hep-ph,139451
cs.CV,132552
quant-ph,123697
cs.LG,118086
hep-th,110564
astro-ph,94216
cs.CL,72495
gr-qc,68978
cond-mat.mes-hall,67431
cond-mat.mtrl-sci,67408
math.AP,54628
astro-ph.GA,52109
cond-mat.str-el,51092
math.CO,50522
astro-ph.SR,46603
astro-ph.HE,43917
astro-ph.CO,43316
cond-mat.stat-mech,42620
math.PR,42294
math.AG,38615
cs.IT,38110
math.OC,36550
math.NT,35620
nucl-th,34942
cs.RO,34172
physics.optics,33467
math-ph,33324
cond-mat.supr-con,33210
math.NA,33063
cs.AI,31554
