year,count
2007,145502
2008,69207
2009,228850
2010,56067
2011,61673
2012,57124
2013,71701
2014,87684
2015,214329
2016,132950
2017,121758
2018,134940
2019,153236
2020,173287
2021,184666
2022,187698
2023,214828
2024,262496
2025,296105
