author,count
 Y. Zhang,3146
 Yang Liu,2440
 Y. Wang,2257
 J. Wang,2235
 Z. Wang,2037
 Y. Li,2006
 Wei Wang,2003
 Takashi Taniguchi,1862
 Lei Zhang,1818
 Kenji Watanabe,1809
 Y. Liu,1765
 Y. Gao,1687
 X. Liu,1684
 Wei Zhang,1620
 C. Li,1579
 J. Zhang,1513
 Z. Xu,1497
 L. Zhang,1494
 Yu Zhang,1491
 L. Sun,1462
 Xin Wang,1409
 Wei Chen,1401
  CMS Collaboration,1394
 H. Liang,1361
 Lei Li,1338
  ATLAS Collaboration,1332
 M. Wang,1327
 Z. Yang,1326
 G. Wilkinson,1290
 Feng Liu,1276
