author,first_year,last_year,active_span_years,paper_count
 J. Pumplin,2007,2017,10,3
 Henrik Schlichtkrull,2007,2017,10,3
 Yasushi Nakajima,2007,2017,10,3
 Anton Deitmar,2007,2017,10,3
 M. Mangin-Brinet,2007,2017,10,3
 Hideki Omori,2007,2017,10,3
 B. Luther,2007,2017,10,3
 Edward B. Jenkins,2009,2019,10,3
 A. Markowitz,2009,2019,10,3
 D. D. Tolla,2008,2018,10,3
 Federico Ricci-Tersenghi,2009,2019,10,3
 Jeremiah P. Ostriker,2009,2019,10,3
 Stefan Hollands,2008,2018,10,3
 D. Kotschick,2008,2018,10,3
 H. Anderhub,2009,2019,10,3
 Mai Shirahata,2015,2025,10,3
 Shuji Matsuura,2015,2025,10,3
 Ye Yeo,2007,2017,10,3
 Yasuhide Numata,2007,2017,10,3
 J. Marin,2007,2017,10,3
 E. Belmont,2007,2017,10,3
 J. Hinnefeld,2007,2017,10,3
 Simeon Reich,2007,2017,10,3
 R. Howes,2007,2017,10,3
 Kamal K. Seth,2007,2017,10,3
 E. D. Feigelson,2009,2019,10,3
 Y. -H. Chu,2009,2019,10,3
 F. Bournaud,2009,2019,10,3
 I. E. Papadakis,2009,2019,10,3
Georg-August-Universitaet Goettingen  Thomas Schick,2008,2018,10,3
 Paolo Lisca,2009,2019,10,3
 Octavio Vera,2013,2023,10,3
 Pavlo Pylyavskyy,2007,2017,10,3
 D. Porras,2007,2017,10,3
 Takuro Abe,2007,2017,10,3
 J. Borges,2007,2017,10,3
 G. Laurenti,2007,2017,10,3
 Miguel A. L. Marques,2007,2017,10,3
 Jean-Luc Thiffeault,2007,2017,10,3
 Matthias Burkardt,2007,2017,10,3
 Pascal Paschos,2007,2017,10,3
 S. M. Owens,2009,2019,10,3
 Jose M. Torrelles,2009,2019,10,3
 T. Yaqoob,2009,2019,10,3
 Bruce Macintosh,2009,2019,10,3
 Brad M. S. Hansen,2009,2019,10,3
 E. B. Sonin,2009,2019,10,3
 Michael Eracleous,2009,2019,10,3
 F. Pauss,2009,2019,10,3
 Li Li,2009,2019,10,3
 Paul Bode,2009,2019,10,3
 A. Eggenberger,2009,2019,10,3
 Boris F. Samsonov,2008,2018,10,3
 Bert van Es,2008,2018,10,3
 Enrique Miranda,2008,2018,10,3
 Hidefumi Ohsugi,2008,2018,10,3
 Do Kester,2015,2025,10,3
 Sin'itirou Makiuti,2015,2025,10,3
GI2MA  Mauricio Sepulveda,2013,2023,10,3
 Tomohiro Hasumi,2007,2017,10,2
 Alexey Pronin,2007,2017,10,2
 P. Nadolsky,2007,2017,10,2
 Alan Frieze,2007,2017,10,2
 Y. Sallaz-Damaz,2007,2017,10,2
 J. Casaus,2007,2017,10,2
 M. Vargas-Trevino,2007,2017,10,2
 A. Malinin,2007,2017,10,2
 C. de la Guia,2007,2017,10,2
 D. Crespo,2007,2017,10,2
 M. Buenerd,2007,2017,10,2
 C. Diaz,2007,2017,10,2
 Dennis P. Clougherty,2007,2017,10,2
 L. Arruda,2007,2017,10,2
 E. Cortina,2007,2017,10,2
 C. Mana,2007,2017,10,2
 A. Torrento,2007,2017,10,2
 E. Lanciotti,2007,2017,10,2
 Paolo Stellari,2009,2019,10,2
 M. J. Kesteven,2009,2019,10,2
 Joao L. Yun,2009,2019,10,2
 F. Bauer,2007,2017,10,2
 Gerald Gilbert,2007,2017,10,2
 Yee Kao,2007,2017,10,2
 Minako Honda,2007,2017,10,2
 I. K. Yanson,2007,2017,10,2
 G. Barreira,2007,2017,10,2
 M. Costado,2007,2017,10,2
 Longhai Li,2007,2017,10,2
 Denis Denisov,2007,2017,10,2
 A. L. Chernyat'ev,2007,2017,10,2
 Andrew Hamilton,2007,2017,10,2
 F. Barao,2007,2017,10,2
 Mark Cropper,2009,2019,10,2
JPL  Daniel Stern,2009,2019,10,2
 Rene Doyon,2009,2019,10,2
 Jules P. Halpern,2009,2019,10,2
 J. Ninkovic,2009,2019,10,2
 K. H. Ploog,2009,2019,10,2
 B. G. Elmegreen,2009,2019,10,2
 C. Munoz-Tunon,2009,2019,10,2
 Tod R. Lauer,2009,2019,10,2
 Sung-Chul Yoon,2009,2019,10,2
 Claude Vallee,2009,2019,10,2
 Brian Schmidt,2009,2019,10,2
 I. Britvitch,2009,2019,10,2
 Joel N. Bregman,2009,2019,10,2
 Y. -M. Chen,2009,2019,10,2
 Uwe Guenther,2008,2018,10,2
 Daniele Alessandrini,2008,2018,10,2
 Vesko Valov,2008,2018,10,2
 S. Liuti,2007,2017,10,2
 S. Ahmad,2007,2017,10,2
 S. K. Taneja,2007,2017,10,2
 Gerard Hooghiemstra,2010,2020,10,2
 Richard A. Wade,2009,2019,10,2
 C. Baixeras,2009,2019,10,2
 D. Vega,2009,2019,10,2
 J. L. Contreras,2009,2019,10,2
 Travis Barman,2009,2019,10,2
"INRIA
  Rhône-Alpes  Stéphane Frénot",2011,2021,10,2
 Hajime Baba,2015,2025,10,2
 B. O'Halloran,2009,2019,10,2
 S. N. Shore,2009,2019,10,2
 D. Michael Crenshaw,2009,2019,10,2
 Robert Joynt,2009,2019,10,2
 R. Zanin,2009,2019,10,2
 Padeli P. Papadopoulos,2009,2019,10,2
 Tracy Beck,2009,2019,10,2
 F. Spanier,2009,2019,10,2
Virginia Tech  Peter Linnell,2008,2018,10,2
 A. Mello,2008,2018,10,2
 Andrzej Adamczak,2008,2018,10,2
 Daniel S. Sage,2007,2017,10,2
 I. Fachruddin,2007,2017,10,2
 Karin Baur,2010,2020,10,2
 D. Sáez,2009,2019,10,2
 D. Mazin,2009,2019,10,2
 Shriram Shivaraman,2009,2019,10,2
 Nina Nowak,2009,2019,10,2
 Serguei Norine,2007,2017,10,2
 Naotoshi Okamura,2007,2017,10,2
 Michael Hamrick,2007,2017,10,2
 Shogo Nishiyama,2007,2017,10,2
 Tatsu Takeuchi,2007,2017,10,2
 H. L. Lai,2007,2017,10,2
 Alexander Berenstein,2007,2017,10,2
 J. F. Corney,2007,2017,10,2
 I. Sevilla,2007,2017,10,2
 Dmitry Korshunov,2007,2017,10,2
 Paul P. van der Werf,2009,2019,10,2
 P. Charlot,2009,2019,10,2
 Balint Toth,2009,2019,10,2
 D. R. Ardila,2009,2019,10,2
 V. V. Makarov,2009,2019,10,2
 M. Pasanen,2009,2019,10,2
Sydney  B. M. Gaensler,2009,2019,10,2
 C. Hu,2009,2019,10,2
 C. -S. Yan,2009,2019,10,2
 Nicolas M. Thiéry,2008,2018,10,2
 B. Montrucchio,2008,2018,10,2
 Marina M. Romanova,2008,2018,10,2
 Mvs Chandrashekhar,2009,2019,10,2
 E. Aliu,2009,2019,10,2
 Jahan M. Dawlaty,2009,2019,10,2
 Suk Minn Kwon,2015,2025,10,2
 Tomotsugu Goto,2015,2025,10,2
 Lingyu Wang,2015,2025,10,2
 Sunao Hasegawa,2015,2025,10,2
 Wu-Ki Tung,2007,2017,10,2
 Shahar Mozes,2007,2017,10,2
 O. Veziant,2007,2017,10,2
 Nancy Marinelli,2007,2017,10,2
 D. Casadei,2007,2017,10,2
 J. Berdugo,2007,2017,10,2
 A. Ya. Belov,2007,2017,10,2
 C. Palomares,2007,2017,10,2
 Takis Konstantopoulos,2007,2017,10,2
 M. Aguilar-Benitez,2007,2017,10,2
 Paul Balister,2007,2017,10,2
 Dorian Kcira,2007,2017,10,2
 B. Baret,2007,2017,10,2
 P. Deuar,2007,2017,10,2
 V. Braito,2009,2019,10,2
 A. Camsonne,2009,2019,10,2
 Boris Feigin,2009,2019,10,2
 R. Hey,2009,2019,10,2
 F. Boulanger,2009,2019,10,2
 A. Macchi,2009,2019,10,2
 Gavin Ramsay,2009,2019,10,2
 John M. Mackay,2009,2019,10,2
 E. C. Stone,2009,2019,10,2
 L. Sodre,2009,2019,10,2
 Douglas Richstone,2009,2019,10,2
 Darrin Casebeer,2009,2019,10,2
 M. Tamura,2009,2019,10,2
 Rubina Kotak,2009,2019,10,2
 Anand Sivaramakrishnan,2009,2019,10,2
 N. A. Logoboy,2009,2019,10,2
 Philip B. Allen,2008,2018,10,2
 Akshay K. Kulkarni,2008,2018,10,2
 H. Then,2007,2017,10,2
 Andreas Paffenholz,2010,2020,10,2
 Idun Reiten,2010,2020,10,2
 Michael G. Spencer,2009,2019,10,2
 P. Antoranz,2009,2019,10,2
 Akiko Kawamura,2015,2025,10,2
 Richard S. Savage,2015,2025,10,2
 Issei Yamamura,2015,2025,10,2
 Sang Hoon Oh,2015,2025,10,2
 H. Vincent Poor,2007,2016,9,59
 N. Gehrels,2007,2016,9,34
 Tshilidzi Marwala,2007,2016,9,28
 M. Mayor,2007,2016,9,25
 G. Tagliaferri,2007,2016,9,24
 Yusuke Sasano,2007,2016,9,23
 J. P. Osborne,2007,2016,9,21
 P. Romano,2007,2016,9,21
 G. Chincarini,2007,2016,9,20
 Yuval Peres,2007,2016,9,19
 S. Covino,2007,2016,9,18
 D. N. Burrows,2007,2016,9,15
 Thibault Damour,2007,2016,9,15
 M. J. Page,2007,2016,9,14
 Vasily E. Tarasov,2009,2018,9,14
DCPR  Frédérique Battin-Leclerc,2007,2016,9,13
 Erasmo Recami,2007,2016,9,13
 B. Sundar Rajan,2007,2016,9,12
 C. Henkel,2007,2016,9,12
DCPR  René Fournet,2007,2016,9,12
 K. L. Page,2007,2016,9,12
 Katsuji Koyama,2008,2017,9,12
 L. A. Antonelli,2007,2016,9,11
 G. Cusumano,2007,2016,9,11
 P. Molaro,2009,2018,9,11
 L. Stella,2007,2016,9,11
DCPR  Pierre-Alexandre Glaude,2007,2016,9,11
 G. L. Israel,2007,2016,9,11
 C. Guidorzi,2007,2016,9,11
 N. R. Tanvir,2007,2016,9,10
 Nihar Jindal,2007,2016,9,10
 M. Della Valle,2007,2016,9,10
 T. R. Marsh,2007,2016,9,10
 Robert Seiringer,2008,2017,9,10
 Massimiliano Laddomada,2007,2016,9,10
 M. Moulson,2007,2016,9,10
 A. Antonelli,2007,2016,9,10
 A. J. Levan,2007,2016,9,10
 P. T. O'Brien,2007,2016,9,10
 Mustafa Cenk Gursoy,2007,2016,9,9
 Hans-Walter Rix,2007,2016,9,9
 Tanmay Vachaspati,2007,2016,9,9
