abslen_decile,avg_abslen,avg_versions
1,224.0766153230646,1.52750550110022
2,387.36794717887153,1.5388155262104841
3,497.2464985994398,1.554421768707483
4,586.4241696678671,1.5730292116846738
5,672.1062424969988,1.5834333733493398
6,768.3619447779112,1.5864345738295318
7,884.530412164866,1.5590236094437775
8,1031.1754701880752,1.5548219287715086
9,1247.000200080032,1.5580232092837134
10,1611.877951180472,1.5346138455382152
