year,avg_lexical_richness,avg_token_count
2007,0.7051526406716213,103.64482962433506
2008,0.692216542093198,115.442960972156
2009,0.6842987510426125,125.62902337775836
2010,0.6884639919782174,118.28193054738081
2011,0.6849960500744166,122.02638107437615
2012,0.6834385537086007,123.20198165394581
2013,0.6797962984248531,126.76201168742416
2014,0.6772834830314571,130.2028192144519
2015,0.6664719723400988,146.82313639311525
2016,0.6724489124369628,138.95444151936817
2017,0.6706293139747804,143.34885592733127
2018,0.6683207818808815,147.8904105528383
2019,0.6699437322571025,148.10562792033204
2020,0.6658932377783372,154.6731664810401
2021,0.6643454332459097,158.00591337874866
2022,0.6644848794095222,160.0232927362039
2023,0.6663690129390958,162.27608133018043
2024,0.6737672642078758,163.56838580397417
2025,0.6923790311325212,164.19306327147464
