author,cat_earliest,cat_latest
 A. Ahmadi,cond-mat.soft,astro-ph.GA
 A. Ahuja,astro-ph,cond-mat.mtrl-sci
 A. Aich,astro-ph.HE,astro-ph.CO
 A. Aimi,math.NA,q-fin.CP
 A. Aimidula,physics.acc-ph,physics.plasm-ph
 A. Aitta,cond-mat.stat-mech,astro-ph.EP
 A. Ajabshirizadeh,astro-ph,astro-ph.SR
 A. Ajay,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Ajdari,cond-mat.mtrl-sci,cond-mat.soft
 A. Ajjaq,hep-ex,hep-ph
 A. Ajoy,cond-mat.mes-hall,quant-ph
 A. Akande,cond-mat.mtrl-sci,cond-mat.str-el
 A. Akbari,cond-mat.dis-nn,cond-mat.mtrl-sci
 A. Akhmetali,cs.NI,astro-ph.GA
 A. Akhmeteli,physics.plasm-ph,physics.acc-ph
 A. Akhundov,gr-qc,hep-ph
 A. Akimov,physics.ins-det,quant-ph
 A. Akindinov,physics.ins-det,hep-ex
 A. Akmal,astro-ph,physics.ins-det
 A. Akmete,physics.ins-det,hep-ex
 A. Akniyazova,cs.NI,astro-ph.GA
 A. Akram,nucl-ex,physics.ins-det
 A. Akrap,cond-mat.str-el,cond-mat.mes-hall
 A. Akulshin,physics.optics,physics.atom-ph
 A. Akylas,astro-ph,astro-ph.GA
 A. Akyüz,astro-ph.GA,astro-ph.EP
 A. Al Qasim,astro-ph.HE,physics.space-ph
 A. Al-Jamel,nucl-ex,hep-ex
 A. Al-Refaie,physics.ins-det,astro-ph.EP
 A. Al-Saffar,cs.LG,cond-mat.mtrl-sci
 A. Al-Sayed,nucl-th,nucl-ex
 A. Al-bataineh,physics.ins-det,hep-ph
 A. AlMannaei,astro-ph.HE,astro-ph.SR
 A. Alabi,astro-ph.GA,astro-ph.IM
 A. Alahmadi,cs.IT,math.RA
 A. Alam,cond-mat.supr-con,cond-mat.str-el
 A. Alarcon,math.DG,astro-ph.CO
 A. Alarie,astro-ph.IM,astro-ph.GA
 A. Alastuey,cond-mat.stat-mech,cond-mat
 A. Alatas,cond-mat.supr-con,cond-mat.str-el
 A. Alavi,cond-mat.mtrl-sci,astro-ph.CO
 A. Alaña,cond-mat.stat-mech,cond-mat.quant-gas
 A. Albaid,hep-th,quant-ph
 A. Albano,astro-ph.HE,gr-qc
 A. Albayrak-Yetkin,physics.ins-det,hep-ex
 A. Alberdi,astro-ph,astro-ph.EP
 A. Albert,hep-ph,hep-ex
 A. Alberti,quant-ph,cond-mat.mtrl-sci
 A. Albrecht,astro-ph,quant-ph
 A. Alburai,astro-ph.GA,astro-ph.HE
 A. Alder,physics.ed-ph,physics.hist-ph
 A. Aldo Faisal,cs.RO,cs.LG
 A. Aleem,physics.plasm-ph,physics.atm-clus
 A. Alejo,physics.plasm-ph,astro-ph.SR
 A. Alekou,physics.acc-ph,hep-ex
 A. Aleksandrova,cond-mat.soft,nucl-ex
 A. Alekseev,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Aleksejevs,nucl-th,hep-ph
 A. Aleman,math.FA,math.CA
 A. Alemberti,physics.flu-dyn,physics.ins-det
 A. Alemic,gr-qc,astro-ph.HE
 A. Aleshko,hep-ph,hep-ex
 A. Alessi,physics.acc-ph,cond-mat.mtrl-sci
 A. Alexakis,astro-ph,physics.flu-dyn
 A. Alexander,physics.ins-det,hep-ex
 A. Alexandradinata,cond-mat.str-el,cond-mat.mes-hall
 A. Alexandre,cs.CE,cond-mat.stat-mech
 A. Alexandre Trindade,stat.AP,math.ST
 A. Alexandrov,hep-th,hep-ex
 A. Alexandrova,physics.acc-ph,physics.plasm-ph
 A. Alexov,astro-ph,astro-ph.IM
 A. Alfauwaz,astro-ph.IM,physics.space-ph
 A. Alfonsov,cond-mat.str-el,physics.ins-det
 A. Ali,hep-ph,hep-ex
 A. Alici,hep-ph,astro-ph.HE
 A. Aliev,cond-mat.mtrl-sci,quant-ph
 A. Aligayev,cond-mat.mtrl-sci,physics.comp-ph
 A. Alijah,physics.chem-ph,physics.atom-ph
 A. Alimenti,astro-ph.IM,physics.acc-ph
 A. Alimohammadi,hep-th,cs.MA
 A. Alipour,math.CO,q-bio.NC
 A. Alizadeh,physics.gen-ph,quant-ph
 A. Alkauskas,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Alkin,hep-ph,hep-ex
 A. Alkurdi,cond-mat.mtrl-sci,quant-ph
 A. Allafort,astro-ph.HE,astro-ph.SR
 A. Allais,hep-lat,cond-mat.supr-con
 A. Allan,astro-ph,astro-ph.IM
 A. Allaoua,physics.ins-det,physics.acc-ph
 A. Allen,cond-mat.dis-nn,physics.plasm-ph
 A. Allouche,astro-ph.SR,hep-th
 A. Almeida,cond-mat.mtrl-sci,astro-ph.GA
 A. Almgren,astro-ph.IM,physics.comp-ph
 A. Aloisi,astro-ph,astro-ph.GA
 A. Alonso,hep-ex,physics.plasm-ph
 A. Alonso-Herrero,astro-ph,astro-ph.GA
 A. Alqahtani,nucl-ex,hep-ex
 A. Alsayed,cond-mat.soft,physics.app-ph
 A. Alshehri,math.AP,cond-mat.mes-hall
 A. Alt,physics.plasm-ph,astro-ph.HE
 A. Altaf,astro-ph,physics.atom-ph
 A. Altaibayeva,gr-qc,astro-ph.CO
 A. Altland,cond-mat.mes-hall,cond-mat.str-el
 A. Altmeyer,cond-mat.other,cond-mat.quant-gas
 A. Alvarado,physics.geo-ph,eess.SP
 A. Alvarez,nlin.PS,hep-ph
 A. Alvarez Ayllon,astro-ph.CO,astro-ph.GA
 A. Alvarez Melcon,cond-mat.mes-hall,hep-ex
 A. Alvarez-Ayllon,astro-ph.GA,astro-ph.CO
 A. Alvarez-Candal,astro-ph.EP,astro-ph.GA
 A. Alvarez-Herrero,astro-ph.IM,astro-ph.SR
 A. Alvear,astro-ph.IM,eess.SP
 A. Alvermann,cond-mat.str-el,quant-ph
 A. Alves,math.KT,hep-ph
 A. Alves-Brito,astro-ph,astro-ph.SR
 A. Alvino,physics.ins-det,math.AP
 A. Alù,cond-mat.mtrl-sci,physics.optics
 A. Aman,math.DS,hep-ex
 A. Amann,cond-mat,physics.optics
 A. Amara,astro-ph,astro-ph.GA
 A. Amaral-Rogers,astro-ph.EP,astro-ph.IM
 A. Amari,quant-ph,eess.SP
 A. Amato,cond-mat.str-el,gr-qc
 A. Amaya-Tapia,physics.chem-ph,physics.atom-ph
 A. Ambastha,astro-ph,astro-ph.SR
 A. Amblard,astro-ph,astro-ph.GA
 A. Ambrifi,astro-ph.EP,astro-ph.HE
 A. Ambrosetti,cond-mat.supr-con,cond-mat.mes-hall
 A. Amendola,math-ph,physics.app-ph
 A. Amengual,chao-dyn,patt-sol
 A. Ames,astro-ph.SR,hep-ex
 A. Amici,cond-mat,astro-ph
 A. Amine Benzerga,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Amini,cs.IT,cs.CV
 A. Amiri,gr-qc,astro-ph.GA
 A. Amirkhani,nucl-ex,quant-ph
 A. Amjadi,cond-mat.soft,physics.flu-dyn
 A. Amo,cond-mat.mes-hall,physics.optics
 A. Amorese,cond-mat.supr-con,cond-mat.str-el
 A. Amorim,cs.DB,astro-ph.EP
 A. Amorin,astro-ph.GA,astro-ph.SR
 A. Amorosi,astro-ph.IM,astro-ph.HE
 A. Amoroso,nucl-ex,hep-ex
 A. Amsellem,physics.atom-ph,astro-ph.CO
 A. Amy,hep-ph,nucl-ex
 A. Amy-Klein,astro-ph,astro-ph.CO
 A. Anadon,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Anand,physics.med-ph,astro-ph.CO
 A. Anane,cond-mat.str-el,cond-mat.mes-hall
 A. Anas Chentouf,math.NT,math.MG
 A. Anastasi,nucl-ex,hep-ex
 A. Anastasiadis,astro-ph,astro-ph.SR
 A. Anastasiou,hep-th,astro-ph.GA
 A. Andalib,nucl-ex,physics.ins-det
 A. Anderlik,hep-ph,nucl-th
 A. Andersen,astro-ph,astro-ph.EP
 A. Anderson,hep-th,astro-ph.IM
 A. Andersson,physics.acc-ph,astro-ph.HE
 A. Andic,astro-ph,astro-ph.SR
 A. Ando,physics.plasm-ph,physics.med-ph
 A. Andoche,physics.ins-det,physics.atom-ph
 A. Andrada,math.DG,math.RA
 A. Andrade,physics.med-ph,astro-ph.CO
 A. Andreani,physics.ins-det,hep-ex
 A. Andreanov,cond-mat.stat-mech,nlin.PS
 A. Andreazza,hep-ph,hep-ex
 A. Andreev,cond-mat.supr-con,hep-th
 A. Andrei,astro-ph.SR,astro-ph.IM
 A. Andres,hep-ex,physics.acc-ph
 A. Andrews,astro-ph.EP,astro-ph.CO
 A. Andrianasolo,astro-ph.CO,astro-ph.IM
 A. Andrianavalomahefa,hep-ex,astro-ph.CO
 A. Andrianov,quant-ph,astro-ph.HE
 A. Andrighetto,nucl-th,physics.med-ph
 A. Andronic,nucl-th,nucl-ex
 A. Andronico,cond-mat.stat-mech,physics.optics
 A. Andronov,cs.AI,cond-mat.mes-hall
 A. Andrushchak,cond-mat.soft,cond-mat.mtrl-sci
 A. Andrés,physics.app-ph,astro-ph.HE
 A. Anelli,physics.ed-ph,hep-ex
 A. Angelini,q-bio.GN,cond-mat.mtrl-sci
 A. Angelone,cond-mat.stat-mech,cond-mat.quant-gas
 A. Angelow,cond-mat.supr-con,quant-ph
 A. Angelucci,cond-mat.mes-hall,cond-mat
 A. Angerami,hep-ex,nucl-ex
 A. Angerhofer,cond-mat.str-el,cond-mat
 A. Anghel,cond-mat.supr-con,physics.ins-det
 A. Angioi,hep-ph,quant-ph
 A. Anisimov,hep-ph,cond-mat.mes-hall
 A. Anisovich,hep-ph,nucl-ex
 A. Anitra,astro-ph.HE,astro-ph.IM
 A. Anjam,physics.ins-det,hep-ex
 A. Anker,astro-ph.IM,nucl-ex
 A. Ankowski,physics.ins-det,physics.comp-ph
 A. Annadi,cond-mat.str-el,cond-mat.mes-hall
 A. Annuar,astro-ph.HE,astro-ph.GA
 A. Anokhina,hep-ex,hep-th
 A. Antal,cond-mat.mtrl-sci,cond-mat.str-el
 A. Anthony,astro-ph.CO,physics.ins-det
 A. Antognini,physics.ins-det,physics.acc-ph
 A. Antonaki,hep-ex,physics.ins-det
 A. Antonakis,physics.ins-det,hep-ex
 A. Antonelli,hep-ex,astro-ph.HE
 A. Antoniou,astro-ph.GA,astro-ph
 A. Antonov,hep-th,hep-ex
 A. Antonova,astro-ph,astro-ph.SR
 A. Antony Selvan,math.CA,cs.IT
 A. Antunes,cond-mat.supr-con,physics.app-ph
 A. Anvari,astro-ph,astro-ph.IM
 A. Anzalone,astro-ph.HE,astro-ph.IM
 A. Aparicio,astro-ph,astro-ph.GA
 A. Apolloni,physics.ins-det,hep-th
 A. Apostolou,hep-ex,physics.ins-det
 A. Apresyan,hep-ex,physics.acc-ph
 A. Aqeel,cond-mat.str-el,cond-mat.mtrl-sci
 A. Aquila,physics.atom-ph,physics.app-ph
 A. Aragon-Salamanca,astro-ph,astro-ph.CO
 A. Aragón-Salamanca,astro-ph,astro-ph.GA
 A. Arai,astro-ph,astro-ph.SR
 A. Aranda,hep-ph,hep-ex
 A. Araudo,astro-ph.HE,astro-ph.IM
 A. Arbet Engels,astro-ph.GA,astro-ph.HE
 A. Arbey,astro-ph,hep-ex
 A. Arbona,gr-qc,physics.comp-ph
 A. Arbouet,physics.optics,cond-mat.mtrl-sci
 A. Arbree,cs.DC,physics.data-an
 A. Arbuzov,hep-ph,gr-qc
 A. Archibald,astro-ph.IM,astro-ph.HE
 A. Arcones,astro-ph,nucl-ex
 A. Arda Gitmez,econ.GN,econ.TH
 A. Ardavan,cond-mat.str-el,cond-mat.supr-con
 A. Ardenghi,cond-mat.mtrl-sci,physics.app-ph
 A. Ardito,astro-ph.SR,astro-ph.HE
 A. Ardizzoni,math.CT,math.QA
 A. Arefiev,physics.ins-det,physics.plasm-ph
 A. Arellano Ferro,astro-ph,astro-ph.SR
 A. Arenas,cond-mat.dis-nn,physics.soc-ph
 A. Aret,astro-ph,astro-ph.SR
 A. Argan,astro-ph,astro-ph.HE
 A. Arguelles,cond-mat.other,cond-mat.quant-gas
 A. Ariando,cond-mat.str-el,cond-mat.supr-con
 A. Arias,math.OA,cond-mat.quant-gas
 A. Ariga,hep-ex,physics.ins-det
 A. Aristova,hep-ph,quant-ph
 A. Arkharov,astro-ph,astro-ph.SR
 A. Armaroli,nlin.PS,physics.optics
 A. Armbruster,physics.ins-det,hep-ex
 A. Arnau,cond-mat.mes-hall,cond-mat.str-el
 A. Arneodo,cond-mat.stat-mech,physics.data-an
 A. Arnold,cond-mat.mes-hall,math.DS
 A. Arnoult,cond-mat.other,physics.atom-ph
 A. Arora,cond-mat.mtrl-sci,astro-ph.GA
 A. Arreola-Lucas,cond-mat.other,physics.class-ph
 A. Arriaga,nucl-th,hep-ph
 A. Arrieta,astro-ph,astro-ph.SR
 A. Arroyo-Polonio,astro-ph.CO,astro-ph.GA
 A. Arsenault,cond-mat.supr-con,cond-mat.str-el
 A. Arshad,physics.flu-dyn,cond-mat.mtrl-sci
 A. Artale,cs.AI,cs.LO
 A. Artamonov,physics.ins-det,hep-ex
 A. Artaud,physics.app-ph,cond-mat.mes-hall
 A. Artemyev,astro-ph.EP,physics.space-ph
 A. Arulraj,cond-mat.str-el,cond-mat.mtrl-sci
 A. Arun Prakash,cs.DS,eess.SY
 A. Arvanitaki,hep-ph,hep-ex
 A. Aryshev,physics.acc-ph,hep-ex
 A. Asadi,hep-th,cs.IT
 A. Asahara,astro-ph,astro-ph.HE
 A. Asai,astro-ph,astro-ph.EP
 A. Asamitsu,cond-mat.mtrl-sci,cond-mat.str-el
 A. Asenjo-Garcia,quant-ph,cond-mat.mtrl-sci
 A. Asensio Ramos,astro-ph,astro-ph.IM
 A. Asgekar,astro-ph.HE,astro-ph.GA
 A. Ashkenazi,nucl-ex,hep-ex
 A. Ashley,astro-ph.CO,astro-ph.GA
 A. Ashoorioon,astro-ph,hep-th
 A. Ashtari Esfahani,physics.comp-ph,physics.ins-det
 A. Askitopoulos,physics.optics,cond-mat.mes-hall
 A. Aslam,math.CA,physics.acc-ph
 A. Aspect,cond-mat,quant-ph
 A. Aspuru-Guzik,quant-ph,physics.chem-ph
 A. Asselah,math.PR,cond-mat.stat-mech
 A. Aste,physics.comp-ph,hep-th
 A. Astillero,cond-mat.soft,cond-mat.dis-nn
 A. Astolfi,math.DS,eess.SY
 A. Ataei,cond-mat.supr-con,cond-mat.str-el
 A. Athanasopoulos,astro-ph,cond-mat.str-el
 A. Atherton,hep-ex,physics.ins-det
 A. Attar,math.AP,physics.chem-ph
 A. Attiaoui,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Attili,cond-mat.soft,physics.bio-ph
 A. Aubret,physics.data-an,cond-mat.soft
 A. Aubry,cond-mat.dis-nn,cs.IT
 A. Audouard,cond-mat.stat-mech,cond-mat.supr-con
 A. Auerbach,cond-mat.supr-con,quant-ph
 A. Augustinus,physics.ins-det,hep-ex
 A. Augusto,math.FA,cs.SE
 A. Aungwerojwit,astro-ph,astro-ph.SR
 A. Aurilia,hep-ph,hep-th
 A. Aurisano,hep-ph,hep-ex
 A. Austregesilo,hep-ex,nucl-ex
 A. Avakyan,cond-mat,astro-ph.HE
 A. Avasthi,physics.ins-det,nucl-ex
 A. Avdeenkov,nucl-th,nucl-ex
 A. Avdeeva,astro-ph.IM,astro-ph.SR
 A. Avdoshkin,hep-th,hep-ph
 A. Avelino,astro-ph.IM,astro-ph.CO
 A. Avella,cond-mat.str-el,quant-ph
 A. Averbuch,cond-mat.mtrl-sci,cs.DM
 A. Averin,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Avetisyan,hep-ex,nucl-ex
 A. Avgoustidis,hep-th,astro-ph.CO
 A. Avila,math.DS,math-ph
 A. Aviles,astro-ph,astro-ph.CO
 A. Avilez-Lopez,hep-ph,gr-qc
 A. Avison,astro-ph,astro-ph.GA
 A. Awad,hep-th,physics.app-ph
 A. Awazu,cond-mat,nlin.PS
 A. Ayari,cond-mat.str-el,cond-mat.mes-hall
 A. Aydın,math.FA,hep-ph
 A. Aykutalp,astro-ph.CO,astro-ph.SR
 A. Aylward,astro-ph.IM,astro-ph.EP
 A. Ayriyan,astro-ph.HE,nucl-th
 A. Ayyer,cond-mat.stat-mech,math.PR
 A. Azadi,gr-qc,math.CO
 A. Azarevich,cond-mat.supr-con,cond-mat.str-el
 A. Azevedo,cond-mat.other,cond-mat.mes-hall
 A. Azhari,hep-th,nucl-ex
 A. Azhibekov,hep-ex,nucl-ex
 A. Aziz,math.CV,cond-mat.mes-hall
 A. B. A. Queiroz,astro-ph.GA,astro-ph.SR
 A. B. Alekseyev,physics.chem-ph,astro-ph.GA
 A. B. Anisimov,hep-ex,nucl-ex
 A. B. Antonevich,math.OA,math.DS
 A. B. Arbuzov,hep-ph,gr-qc
 A. B. Balakin,gr-qc,hep-ph
 A. B. Balantekin,astro-ph,hep-ph
 A. B. Barreto,gr-qc,quant-ph
 A. B. Batdalov,cond-mat.str-el,cond-mat.mtrl-sci
 A. B. Bhattacherjee,cond-mat.other,cond-mat.quant-gas
 A. B. Butenko,cond-mat.str-el,cond-mat.mes-hall
 A. B. Chen,cond-mat.mtrl-sci,physics.ao-ph
 A. B. Chernyaev,astro-ph,astro-ph.CO
 A. B. Danilet,astro-ph.SR,astro-ph.HE
 A. B. Davis,astro-ph.GA,astro-ph.EP
 A. B. Davydov,cond-mat.mes-hall,cond-mat.str-el
 A. B. Dieker,math.PR,stat.ME
 A. B. Drake,astro-ph.CO,astro-ph.GA
 A. B. Duncan,math.AP,stat.ML
 A. B. Flanchik,astro-ph,astro-ph.SR
 A. B. Fletcher,astro-ph,astro-ph.IM
 A. B. Galvin,astro-ph,astro-ph.SR
 A. B. Georgescu,cond-mat.str-el,cond-mat.supr-con
 A. B. Giles,astro-ph,astro-ph.EP
 A. B. Granovsky,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. B. Gridnev,nucl-ex,hep-ph
 A. B. Hansell,hep-ex,physics.data-an
 A. B. Hassam,physics.plasm-ph,astro-ph.GA
 A. B. Henriques,astro-ph,cond-mat.mtrl-sci
 A. B. Hill,astro-ph,astro-ph.HE
 A. B. J. Kuijlaars,math-ph,math.CA
 A. B. Jaffe,cs.DL,physics.soc-ph
 A. B. Kaganovich,gr-qc,hep-th
 A. B. Kaidalov,hep-ph,hep-ex
 A. B. Kallin,cond-mat.str-el,cond-mat.supr-con
 A. B. Karki,cond-mat.str-el,cond-mat.supr-con
 A. B. Klautau,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. B. Kobakhidze,hep-th,hep-ph
 A. B. Kolomeisky,cond-mat.soft,q-bio.SC
 A. B. Kolton,cond-mat.supr-con,cond-mat.dis-nn
 A. B. Konovalov,math.RA,math.GR
 A. B. Kos,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. B. Kostinski,cond-mat.soft,physics.data-an
 A. B. Kovacevic,astro-ph.SR,astro-ph.HE
 A. B. Kovačević,astro-ph.HE,astro-ph.GA
 A. B. Krysa,cond-mat.mes-hall,quant-ph
 A. B. Kuklov,cond-mat.soft,cond-mat
 A. B. Kukushkin,astro-ph,physics.flu-dyn
 A. B. Kuzmenko,cond-mat.supr-con,cond-mat.mtrl-sci
 A. B. Lahanas,hep-ph,hep-th
 A. B. Lazarev,hep-ex,nucl-ex
 A. B. Lucy,astro-ph.CO,astro-ph.SR
 A. B. M. Alim Al Islam,cs.CR,cs.LG
 A. B. M. Ashikur Rahman,cs.CV,cs.CR
 A. B. M. R. Sazzad,physics.ins-det,hep-ex
 A. B. Mantz,astro-ph.CO,astro-ph.IM
 A. B. Matsko,physics.atom-ph,quant-ph
 A. B. Mazitov,physics.app-ph,physics.optics
 A. B. McDonald,astro-ph,physics.ins-det
 A. B. Meyer,hep-ph,hep-ex
 A. B. Morcos,gr-qc,astro-ph.CO
 A. B. Movchan,math-ph,math.AP
 A. B. Murray,cond-mat.soft,physics.geo-ph
 A. B. Mutiara,cond-mat.mtrl-sci,cs.OH
 A. B. Nassar,math-ph,quant-ph
 A. B. Neganov,hep-ex,nucl-ex
 A. B. Nielsen,astro-ph,gr-qc
 A. B. Németh,math.OC,math.FA
 A. B. Odobescu,cond-mat.mes-hall,cond-mat.str-el
 A. B. Owen,math.ST,stat.ME
 A. B. Pace,astro-ph.GA,astro-ph.CO
 A. B. Pakhomov,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. B. Peck,astro-ph,astro-ph.GA
 A. B. Penna-Firme,gr-qc,hep-th
 A. B. Pestov,hep-th,gr-qc
 A. B. Pimenov,hep-th,astro-ph.HE
 A. B. Poma,cond-mat.soft,physics.bio-ph
 A. B. Popov,nucl-ex,math.FA
 A. B. Pushkarev,astro-ph,astro-ph.GA
 A. B. Queiroz,astro-ph.SR,astro-ph.GA
 A. B. Redwine,physics.ins-det,hep-ex
 A. B. Rogers,astro-ph.CO,astro-ph.GA
 A. B. Romanowska,math.MG,math.CO
 A. B. Rosenfeld,cond-mat.mtrl-sci,cond-mat.supr-con
 A. B. Ryabov,q-bio.PE,cond-mat.other
 A. B. Sanin,astro-ph,astro-ph.HE
 A. B. Savel'ev,physics.optics,physics.plasm-ph
 A. B. Sefkow,physics.plasm-ph,cond-mat.mtrl-sci
 A. B. Selivanov,hep-th,gr-qc
 A. B. Shabat,solv-int,nlin.SI
 A. B. Shinde,cond-mat.mtrl-sci,cond-mat.str-el
 A. B. Shkarin,cond-mat.stat-mech,physics.optics
 A. B. Shvartsburg,physics.optics,physics.app-ph
 A. B. Smith,astro-ph.SR,astro-ph.EP
 A. B. Sushkov,cond-mat.mtrl-sci,cond-mat.str-el
 A. B. Tanaev,hep-th,astro-ph.IM
 A. B. Tarasov,hep-ph,cond-mat.mtrl-sci
 A. B. Tchapda,cond-mat.str-el,quant-ph
 A. B. Telles,nucl-ex,physics.ins-det
 A. B. Tsybakov,math.ST,cs.IT
 A. B. Ustinov,cond-mat.mes-hall,physics.app-ph
 A. B. Van'kov,cond-mat.mes-hall,cond-mat.str-el
 A. B. Wahidin,gr-qc,nucl-th
 A. B. Walker,cond-mat,physics.app-ph
 A. B. Walter,astro-ph.HE,physics.ins-det
 A. B. Weber,nucl-ex,hep-ph
 A. B. Wickes,physics.ins-det,hep-ex
 A. B. Wicklund,hep-ph,hep-ex
 A. B. Wilson,cond-mat.supr-con,quant-ph
 A. B. Yanovski,math.DS,nlin.SI
 A. B. Zimmerman,astro-ph.HE,gr-qc
 A. B. Zylstra,astro-ph.HE,physics.plasm-ph
 A. Baas,quant-ph,gr-qc
 A. Babanin,nlin.CD,physics.ao-ph
 A. Babic,hep-ph,astro-ph.HE
 A. Babichenko,hep-th,math-ph
 A. Babiński,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Babul,astro-ph,astro-ph.GA
 A. Bacchetta,hep-ph,hep-ex
 A. Bacci,physics.ins-det,physics.acc-ph
 A. Bacher,astro-ph.IM,quant-ph
 A. Bachtold,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Bacigalupo,cond-mat.mtrl-sci,physics.comp-ph
 A. Bacmann,astro-ph,astro-ph.GA
 A. Badala,nucl-ex,hep-ex
 A. Badalyan,astro-ph.HE,physics.geo-ph
 A. Badea,hep-ex,physics.acc-ph
 A. Baden,hep-ex,physics.ins-det
 A. Bader,nucl-ex,physics.optics
 A. Badertscher,hep-ex,physics.ins-det
 A. Badinski,cond-mat.mtrl-sci,physics.comp-ph
 A. Baena,cond-mat.str-el,eess.SP
 A. Baez-Rubio,astro-ph.SR,astro-ph.GA
 A. Baeza,math.NA,physics.ins-det
 A. Bagci,math-ph,quant-ph
 A. Bagheri,nucl-ex,cs.CY
 A. Baglin,astro-ph,astro-ph.SR
 A. Bagolini,physics.ins-det,astro-ph.IM
 A. Bagrets,cond-mat.mtrl-sci,cond-mat.supr-con
 A. Bagrov,hep-th,cond-mat.dis-nn
 A. Bagulya,physics.ins-det,hep-ex
 A. Baha Balantekin,nucl-th,hep-ph
 A. Bahmanyar,astro-ph.CO,astro-ph.IM
 A. Bahr,astro-ph.IM,quant-ph
 A. Bahraminasab,physics.geo-ph,nlin.CD
 A. Baier,astro-ph,astro-ph.SR
 A. Bailey,math.CA,astro-ph.CO
 A. Bainbridge,physics.acc-ph,physics.med-ph
 A. Bajorek,cond-mat.str-el,cond-mat.mtrl-sci
 A. Bak,math.AT,cond-mat
 A. Bakalová,physics.ins-det,hep-ph
 A. Baker,astro-ph,hep-ex
 A. Bakhshi,hep-th,cs.SY
 A. Baki Kocaballi,cs.CL,cs.HC
 A. Bakin,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Baklanov,astro-ph,astro-ph.SR
 A. Bakry,astro-ph.GA,hep-lat
 A. Bakshi,hep-ph,physics.ins-det
 A. Balaguera-Antolinez,gr-qc,astro-ph.CO
 A. Balan,math.DG,cond-mat.mtrl-sci
 A. Balanov,nlin.CD,physics.app-ph
 A. Balassis,cond-mat.supr-con,cond-mat.str-el
 A. Balatsky,cond-mat,cond-mat.supr-con
 A. Balbi,astro-ph,physics.pop-ph
 A. Balbo,physics.app-ph,physics.acc-ph
 A. Balboni,nucl-ex,hep-ex
 A. Balcytis,cond-mat.mes-hall,physics.optics
 A. Baldeschi,astro-ph.HE,astro-ph.GA
 A. Baldin,physics.acc-ph,hep-ex
 A. Baldini,hep-ph,hep-ex
 A. Baldisseri,hep-ex,nucl-ex
 A. Baldwin,cond-mat.str-el,nucl-ex
 A. Balestra,astro-ph.CO,astro-ph.GA
 A. Balinsky,hep-th,math.SP
 A. Ball,hep-ex,physics.acc-ph
 A. Balla,physics.ins-det,hep-ex
 A. Ballestar,cond-mat.mtrl-sci,cond-mat.str-el
 A. Ballesteros,solv-int,gr-qc
 A. Balmaseda,math-ph,math.SP
 A. Balocchi,physics.atom-ph,cond-mat.mes-hall
 A. Balog,q-bio.PE,eess.AS
 A. Balogh,physics.plasm-ph,q-bio.PE
 A. Baltuska,quant-ph,physics.optics
 A. Baltuška,physics.atom-ph,cond-mat.mes-hall
 A. Baltz,hep-ph,acc-phys
 A. Balzarotti,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Balzer,astro-ph.HE,astro-ph.IM
 A. Bamba,astro-ph,astro-ph.HE
 A. Bamberger,physics.ins-det,hep-ex
 A. Bandari,nucl-ex,hep-ex
 A. Banday,astro-ph,astro-ph.IM
 A. Bandrivskyy,physics.data-an,cond-mat.other
 A. Bandyopadhyay,hep-ph,cond-mat.str-el
 A. Banerjee,cond-mat.str-el,astro-ph.HE
 A. Banijamali,hep-th,gr-qc
 A. Banik,physics.ins-det,hep-ph
 A. Bansal,nucl-th,astro-ph.EP
 A. Bansil,cond-mat.mtrl-sci,cond-mat.str-el
 A. Bansod,astro-ph.IM,astro-ph.HE
 A. Banzatti,astro-ph.EP,astro-ph.SR
 A. Baquero,astro-ph.IM,astro-ph.HE
 A. Bar,cond-mat.stat-mech,cond-mat.str-el
 A. Barabash,hep-ex,physics.ins-det
 A. Barakat,physics.space-ph,math.OC
 A. Baraldi,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Baran,astro-ph,nucl-ex
 A. Baranov,math.CV,hep-ex
 A. Baransky,astro-ph.EP,astro-ph.HE
 A. Barasiński,cond-mat.mtrl-sci,quant-ph
 A. Baratoff,cond-mat.mtrl-sci,cond-mat.mes-hall
 A. Baratto Roldan,nucl-ex,hep-ex
 A. Barbano,astro-ph.HE,hep-ex
 A. Barbara,cond-mat.other,physics.optics
 A. Barbier,cond-mat.mtrl-sci,astro-ph.GA
 A. Barbieri,gr-qc,hep-ex
 A. Barbosa,astro-ph.SR,cond-mat.mtrl-sci
