author,cat_earliest,cat_latest
  Fermi LAT Collaboration,astro-ph,astro-ph.HE
  Fermilab E791 Collaboration,hep-ex,hep-ph
  Ferreira,stat.ME,astro-ph.GA
  Firdaus,eess.SY,hep-ph
  France,hep-ph,astro-ph.HE
  Francisco,quant-ph,math.DG
  Francois,cond-mat.mtrl-sci,astro-ph.GA
  Fülöp,cond-mat.mes-hall,nucl-ex
  G,astro-ph,astro-ph.GA
  G Collaboration,astro-ph.IM,hep-ex
  G.,astro-ph,astro-ph.SR
  GERDA collaboration,physics.ins-det,nucl-ex
  GRAND Collaboration,astro-ph.HE,astro-ph.IM
  GRAVITY Collaboration,astro-ph.HE,astro-ph.SR
  Gaia Collaboration,astro-ph.IM,astro-ph.GA
  Gao,hep-ex,cs.MM
  Gayatri,cond-mat.mes-hall,cond-mat.mtrl-sci
  Geetanjali,astro-ph,cond-mat.mtrl-sci
  Germany,cond-mat.soft,cond-mat.mtrl-sci
  Gharib-Nezhad,astro-ph.EP,astro-ph.IM
  Gopal-Krishna,astro-ph,astro-ph.GA
  Grande Collaboration,astro-ph,astro-ph.HE
  Gratsea,quant-ph,cond-mat.dis-nn
  Greenbelt,astro-ph.HE,astro-ph.EP
  Guan,astro-ph.HE,math.AP
  Guo,cs.CV,cond-mat.str-el
  Gupta,hep-lat,physics.med-ph
  H.,astro-ph.SR,astro-ph.EP
  HARP Collaboration,hep-ex,astro-ph
  HAWC collaboration,astro-ph.HE,astro-ph.IM
  HESS Collaboration,astro-ph,astro-ph.HE
  Ha,cs.LG,eess.SP
  Hackman,astro-ph.SR,nucl-ex
  Hao,physics.plasm-ph,cs.LG
  Hardy,cs.CL,cs.IR
  Harsh,hep-ex,hep-th
  Harshit,cs.CV,cs.LG
  Harsojo,cond-mat.str-el,cond-mat.mes-hall
  Hartonas,math.LO,cs.LO
  Harun-Or-Roshid,math.GM,nlin.PS
  Haryono,cs.AR,cs.SE
  Hasanuddin,astro-ph.GA,gr-qc
  He,hep-ph,cs.DC
  Heena,cs.CR,physics.app-ph
  Henderson,nucl-ex,math.CO
