author,first_year,last_year,active_span_years,paper_count
 L. Kravchuk,2007,2025,18,769
 J. Closier,2007,2025,18,769
 M. N. Achasov,2007,2025,18,768
 Z. Ajaltouni,2007,2025,18,767
 C. Gaspar,2007,2025,18,767
 M. Gandelman,2007,2025,18,767
 Ph. Charpentier,2007,2025,18,766
 D. Lucchesi,2007,2025,18,763
 X. F. Wang,2007,2025,18,761
 A. Satta,2007,2025,18,760
 S. Jin,2007,2025,18,759
 A. Denig,2007,2025,18,750
 M. Greco,2007,2025,18,744
 T. Johansson,2007,2025,18,743
 B. Zheng,2007,2025,18,743
 Li Zhang,2007,2025,18,743
 Z. Y. Wang,2007,2025,18,742
 T. Hu,2007,2025,18,739
 J. W. Zhang,2007,2025,18,738
 X. Wu,2007,2025,18,736
 Fan Zhang,2007,2025,18,735
 Y. Chen,2007,2025,18,734
 M. Ablikim,2007,2025,18,734
 Yang Wang,2007,2025,18,733
 Tao Wang,2007,2025,18,733
 J. Zhu,2007,2025,18,732
 Yue Wang,2007,2025,18,731
 S. X. Du,2007,2025,18,727
  LHCb collaboration,2007,2025,18,726
 H. X. Yang,2007,2025,18,725
 X. Cai,2007,2025,18,724
 Jian Li,2007,2025,18,723
 K. Peters,2007,2025,18,722
 F. Polci,2007,2025,18,721
 L. Yang,2007,2025,18,720
 Yong Zhang,2007,2025,18,719
 M. Scodeggio,2007,2025,18,717
 G. Felici,2007,2025,18,717
 G. Lanfranchi,2007,2025,18,717
 Li Li,2007,2025,18,713
 M. Fiorini,2007,2025,18,711
 H. Wang,2007,2025,18,710
 Y. Yuan,2007,2025,18,708
 X. H. Mo,2007,2025,18,707
 A. McNab,2007,2025,18,704
 M. Bertani,2007,2025,18,704
 Chao Chen,2007,2025,18,703
 J. L. Zhang,2007,2025,18,703
 A. Sarti,2007,2025,18,702
 Y. Xu,2007,2025,18,702
 Yong Li,2007,2025,18,702
 Peng Zhang,2007,2025,18,700
 Hao Wu,2007,2025,18,699
 H. Y. Zhang,2007,2025,18,698
 Bo Zhang,2007,2025,18,698
 A. Sarantsev,2007,2025,18,696
 A. Oyanguren,2007,2025,18,695
 J. Yu,2007,2025,18,692
 R. Farinelli,2007,2025,18,691
 A. C. Fabian,2007,2025,18,690
 I. Boyko,2007,2025,18,688
 M. L. Chen,2007,2025,18,687
 J. Li,2007,2025,18,687
 P. Wang,2007,2025,18,685
 Q. An,2007,2025,18,684
 F. A. Harris,2007,2025,18,684
 G. Rong,2007,2025,18,682
 Z. G. Zhao,2007,2025,18,681
 G. S. Huang,2007,2025,18,680
 C. D. Fu,2007,2025,18,680
 J. Dong,2007,2025,18,679
 Y. C. Zhu,2007,2025,18,678
 J. Liu,2007,2025,18,677
 Jing Li,2007,2025,18,676
 Z. P. Mao,2007,2025,18,676
 Z. J. Xiao,2007,2025,18,675
 A. Khoukaz,2007,2025,18,675
 Dong Wang,2007,2025,18,672
 H. Gao,2007,2025,18,672
 X. Chen,2007,2025,18,669
 Min Zhang,2007,2025,18,669
 D. Hill,2007,2025,18,668
 S. Stone,2007,2025,18,665
 Kai Wang,2007,2025,18,659
 Jun Liu,2007,2025,18,657
 Z. Zhang,2007,2025,18,656
 J. Hu,2007,2025,18,655
 Y. Q. Wang,2007,2025,18,655
 Bin Chen,2007,2025,18,654
 Gang Chen,2007,2025,18,648
 Y. D. Wang,2007,2025,18,645
 N. Neri,2007,2025,18,643
 M. Rama,2007,2025,18,641
 Z. Li,2007,2025,18,638
 Chi Zhang,2007,2025,18,635
 Jie Chen,2007,2025,18,635
 Yifan Yang,2007,2025,18,634
 V. Prasad,2007,2025,18,632
 Ke Liu,2007,2025,18,632
 J. Walsh,2007,2025,18,625
 S. Das Sarma,2007,2025,18,624
 F. De Mori,2007,2025,18,624
 I. Bediaga,2007,2025,18,623
 J. Zhao,2007,2025,18,620
 M. Xu,2007,2025,18,618
 Li Chen,2007,2025,18,614
 B. Liu,2007,2025,18,613
 H. Lu,2007,2025,18,612
 Fei Wang,2007,2025,18,611
 Tong Zhang,2007,2025,18,608
 Y. Jiang,2007,2025,18,608
 Y. Bai,2007,2025,18,607
 N. Berger,2007,2025,18,607
 A. Bertolin,2007,2025,18,605
 Zhen Wang,2007,2025,18,605
 Zhe Wang,2007,2025,18,605
 Chao Wang,2007,2025,18,600
 Donald P. Schneider,2007,2025,18,597
 L. Li,2007,2025,18,597
 Qi Wang,2007,2025,18,596
 S. Udry,2007,2025,18,593
 Ulf-G. Meißner,2007,2025,18,593
 Yang Chen,2007,2025,18,593
 Kai Chen,2007,2025,18,588
 K. Cho,2007,2025,18,587
 G. Wang,2007,2025,18,586
 A. Sciubba,2007,2025,18,586
 C. Wang,2007,2025,18,586
 Jie Yang,2007,2025,18,586
 G. Liu,2007,2025,18,585
 D. H. Zhang,2007,2025,18,584
 Jie Liu,2007,2025,18,584
 A. Malinin,2007,2025,18,583
 C. J. G. Onderwater,2007,2025,18,583
 Jian Zhang,2007,2025,18,583
 Kai Zhang,2007,2025,18,581
 V. Bocci,2007,2025,18,579
 Y. Ma,2007,2025,18,578
 C. Liu,2007,2025,18,577
 S. Sarkar,2007,2025,18,571
 F. H. Heinsius,2007,2025,18,569
 Y. H. Xie,2007,2025,18,567
 Tao Yang,2007,2025,18,565
 Yan Li,2007,2025,18,565
 F. Ferrari,2007,2025,18,564
 J. Sun,2007,2025,18,560
 Thomas Henning,2007,2025,18,559
 P. Billoir,2007,2025,18,559
 S. Playfer,2007,2025,18,559
 L. Capriotti,2007,2025,18,557
 Bin Li,2007,2025,18,555
 A. Pathak,2007,2025,18,555
 R. Graciani Diaz,2007,2025,18,555
 Jiawei Zhang,2007,2025,18,554
 M. Kramer,2007,2025,18,553
 Yu Chen,2007,2025,18,552
 Xiao Wang,2007,2025,18,552
 K. Tanida,2007,2025,18,550
 E. Tournefier,2007,2025,18,549
